Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;6.27%;1229;4.56%;13.34%;877;78;339;3.99%;1;1.03%;0.91%;71.36%;55;120;6;4.33%;1;40;117;8;13.68%;38.65%;8.89%;6;38;35;9;827901006;38;4.33%
Parlament;2024;1.76%;946;9.78%;32.88%;511;67;75;0.98%;5;1.57%;0.98%;54.02%;9;59;32;8.41%;5;50;168;5;11.55%;14.68%;13.11%;32;43;5;8;827905032;22;4.31%
Parlament;2024;4.80%;1065;5.37%;14.41%;708;53;248;5.23%;1;0.85%;0.85%;66.48%;34;125;9;4.94%;1;38;102;6;17.66%;35.03%;7.49%;9;35;37;6;827901009;24;3.39%
Parlament;2024;1.73%;1071;22.94%;38.96%;462;47;23;1.73%;6;0.87%;2.81%;43.14%;8;30;20;5.84%;6;106;180;13;6.49%;4.98%;10.17%;20;27;8;4;827906020;16;3.46%
Parlament;2024;2.05%;1541;21.29%;35.96%;634;62;34;3.47%;2;2.52%;1.74%;41.14%;13;60;17;3.94%;2;135;228;11;9.46%;5.36%;9.78%;17;25;22;16;827902017;28;4.42%
Parlament;2024;2.64%;986;12.26%;44.72%;530;60;33;2.08%;5;0.57%;0.75%;53.75%;14;52;10;7.36%;5;65;237;4;9.81%;6.23%;11.32%;10;39;11;3;827905010;12;2.26%
Parlament;2024;3.52%;1496;11.95%;32.70%;795;90;84;3.77%;4;2.52%;0.63%;53.14%;28;98;6;6.42%;4;95;260;5;12.33%;10.57%;11.32%;6;51;30;20;827904006;34;4.28%
Parlament;2024;4.51%;1535;6.76%;23.28%;932;82;226;4.83%;5;1.07%;0.54%;60.72%;42;156;3;6.76%;5;63;217;5;16.74%;24.25%;8.80%;3;63;45;10;827905003;23;2.47%
Parlament;2024;3.05%;589;11.28%;30.18%;328;26;45;3.05%;5;1.22%;0.61%;55.69%;10;57;12;9.15%;5;37;99;2;17.38%;13.80%;7.93%;12;30;10;4;827905012;8;2.44%
Parlament;2024;3.32%;995;3.17%;14.48%;663;52;299;4.68%;1;0.75%;0.60%;66.63%;22;97;8;3.02%;1;21;96;4;14.63%;44.95%;7.84%;8;20;31;5;827901008;16;2.41%
Parlament;2024;2.39%;889;20.76%;39.62%;419;46;18;1.19%;6;2.15%;2.86%;47.13%;10;26;18;6.68%;6;87;166;12;6.21%;4.30%;10.98%;18;28;5;9;827906018;12;2.86%
Parlament;2024;2.72%;1079;14.70%;33.55%;626;71;48;2.72%;6;2.24%;2.72%;58.02%;17;81;33;5.27%;6;92;210;17;12.94%;7.67%;11.34%;33;33;17;14;827906033;26;4.15%
Parlament;2024;4.16%;1073;4.85%;14.98%;721;62;281;3.88%;1;1.39%;0.69%;67.19%;30;99;25;4.99%;1;35;108;5;13.73%;38.97%;8.60%;25;36;28;10;827901025;27;3.74%
Parlament;2024;2.05%;1440;17.76%;36.48%;732;72;40;1.64%;6;2.05%;1.23%;50.83%;15;83;25;7.38%;6;130;267;9;11.34%;5.46%;9.84%;25;54;12;15;827906025;35;4.78%
Parlament;2024;3.06%;1288;11.56%;26.46%;718;72;125;1.39%;3;2.09%;0.70%;55.75%;22;123;1;7.38%;3;83;190;5;17.13%;17.41%;10.03%;1;53;10;15;827903001;20;2.79%
Parlament;2024;2.28%;1128;16.18%;38.59%;482;40;52;2.49%;3;1.45%;0.83%;42.73%;11;59;14;4.77%;3;78;186;4;12.24%;10.79%;8.30%;14;23;12;7;827903014;10;2.07%
Parlament;2024;1.75%;852;22.27%;28.82%;458;68;25;3.28%;6;2.18%;1.09%;53.76%;8;41;32;6.77%;6;102;132;5;8.95%;5.46%;14.85%;32;31;15;10;827906032;21;4.59%
Parlament;2024;3.79%;1201;13.03%;33.64%;660;56;81;2.42%;3;1.06%;1.21%;54.95%;25;103;20;4.55%;3;86;222;8;15.61%;12.27%;8.48%;20;30;16;7;827903020;26;3.94%
Parlament;2024;6.20%;1662;3.99%;19.22%;1129;68;394;3.99%;1;1.15%;0.35%;67.93%;70;173;17;6.55%;1;45;217;4;15.32%;34.90%;6.02%;17;74;45;13;827901017;26;2.30%
Parlament;2024;5.12%;672;2.46%;12.91%;488;40;214;4.30%;1;0.61%;0.41%;72.62%;25;62;24;5.12%;1;12;63;2;12.70%;43.85%;8.20%;24;25;21;3;827901024;21;4.30%
Parlament;2024;4.32%;1351;7.58%;35.47%;857;93;133;2.92%;5;0.35%;0.35%;63.43%;37;132;9;5.25%;5;65;304;3;15.40%;15.52%;10.85%;9;45;25;3;827905009;17;1.98%
Parlament;2024;2.06%;1090;14.77%;40.56%;535;74;41;1.12%;2;2.06%;0.75%;49.08%;11;45;1;4.67%;2;79;217;4;8.41%;7.66%;13.83%;1;25;6;11;827902001;22;4.11%
Parlament;2024;5.57%;1117;8.21%;25.81%;682;80;130;3.08%;1;1.17%;0.73%;61.06%;38;92;21;6.89%;1;56;176;5;13.49%;19.06%;11.73%;21;47;21;8;827901021;29;4.25%
Parlament;2024;1.65%;1147;16.67%;40.66%;546;52;28;2.01%;2;1.65%;0.55%;47.60%;9;76;9;6.04%;2;91;222;3;13.92%;5.13%;9.52%;9;33;11;9;827902009;12;2.20%
Parlament;2024;4.03%;1759;7.39%;24.43%;1191;94;319;4.20%;1;1.43%;0.34%;67.71%;48;175;16;3.69%;1;88;291;4;14.69%;26.78%;7.89%;16;44;50;17;827901016;61;5.12%
Parlament;2024;3.61%;1007;8.54%;25.94%;609;46;117;4.43%;5;0.99%;0.82%;60.48%;22;104;20;8.70%;5;52;158;5;17.08%;19.21%;7.55%;20;53;27;6;827905020;19;3.12%
Parlament;2024;1.68%;844;16.55%;42.45%;417;57;16;1.44%;2;0.96%;1.44%;49.41%;7;42;5;4.56%;2;69;177;6;10.07%;3.84%;13.67%;5;19;6;4;827902005;14;3.36%
Parlament;2024;4.29%;1349;6.63%;23.19%;815;82;207;4.05%;4;1.23%;0.49%;60.42%;35;142;3;4.17%;4;54;189;4;17.42%;25.40%;10.06%;3;34;33;10;827904003;25;3.07%
Parlament;2024;2.32%;1214;24.21%;33.83%;603;84;26;1.66%;6;2.49%;1.00%;49.67%;14;56;6;4.48%;6;146;204;6;9.29%;4.31%;13.93%;6;27;10;15;827906006;15;2.49%
Parlament;2024;2.48%;966;10.46%;41.31%;564;83;36;1.42%;5;1.42%;0.89%;58.39%;14;62;18;6.56%;5;59;233;5;10.99%;6.38%;14.72%;18;37;8;8;827905018;19;3.37%
Parlament;2024;3.71%;607;7.16%;28.65%;377;47;77;2.39%;5;1.33%;0.80%;62.11%;14;63;21;5.31%;5;27;108;3;16.71%;20.42%;12.47%;21;20;9;5;827905021;4;1.06%
Parlament;2024;2.94%;1114;12.07%;32.35%;646;53;97;2.32%;7;1.39%;1.55%;57.99%;19;89;5;7.74%;7;78;209;10;13.78%;15.02%;8.20%;5;50;15;9;827907005;17;2.63%
Parlament;2024;0.72%;936;17.42%;47.02%;419;54;13;0.72%;6;0.72%;3.10%;44.76%;3;32;27;3.58%;6;73;197;13;7.64%;3.10%;12.89%;27;15;3;3;827906027;13;3.10%
Parlament;2024;1.94%;1185;17.43%;38.56%;568;74;29;1.23%;6;1.94%;1.58%;47.93%;11;66;11;4.75%;6;99;219;9;11.62%;5.11%;13.03%;11;27;7;11;827906011;16;2.82%
Parlament;2024;1.98%;947;10.89%;38.61%;505;60;41;1.78%;6;0.40%;0.99%;53.33%;10;80;12;5.15%;6;55;195;5;15.84%;8.12%;11.88%;12;26;9;2;827906012;22;4.36%
