Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;3.62%;916;11.43%;33.14%;525;66;65;1.14%;3;1.90%;0.76%;57.31%;19;71;15;6.48%;3;60;174;4;13.52%;12.38%;12.57%;15;34;6;10;827903015;16;3.05%
Parlament;2024;3.68%;1707;11.67%;28.15%;977;76;175;3.68%;6;2.15%;0.41%;57.23%;36;153;8;6.04%;6;114;275;4;15.66%;17.91%;7.78%;8;59;36;21;827906008;28;2.87%
Parlament;2024;4.03%;944;8.06%;28.37%;571;45;123;3.50%;1;0.53%;0.53%;60.49%;23;81;15;7.01%;1;46;162;3;14.19%;21.54%;7.88%;15;40;20;3;827901015;25;4.38%
Parlament;2024;1.20%;756;18.56%;36.53%;334;43;11;1.80%;4;0.30%;2.10%;44.18%;4;42;9;5.99%;4;62;122;7;12.57%;3.29%;12.87%;9;20;6;1;827904009;16;4.79%
Parlament;2024;5.33%;1151;9.63%;30.07%;675;84;98;2.52%;1;1.19%;0.59%;58.64%;36;90;19;6.81%;1;65;203;4;13.33%;14.52%;12.44%;19;46;17;8;827901019;24;3.56%
Parlament;2024;2.18%;1566;11.21%;31.15%;963;116;158;1.97%;5;1.45%;0.52%;61.49%;21;138;1;4.67%;5;108;300;5;14.33%;16.41%;12.05%;1;45;19;14;827905001;39;4.05%
Parlament;2024;4.65%;1134;11.09%;25.19%;667;42;127;2.85%;4;2.10%;0.90%;58.82%;31;131;4;4.80%;4;74;168;6;19.64%;19.04%;6.30%;4;32;19;14;827904004;23;3.45%
Parlament;2024;2.08%;710;17.86%;44.94%;336;25;16;2.38%;4;1.19%;1.79%;47.32%;7;27;10;7.14%;4;60;151;6;8.04%;4.76%;7.44%;10;24;8;4;827904010;8;2.38%
Parlament;2024;2.27%;784;17.80%;49.19%;309;39;16;0.97%;3;0.00%;1.62%;39.41%;7;17;16;3.88%;3;55;152;5;5.50%;5.18%;12.62%;16;12;3;0;827903016;3;0.97%
Parlament;2024;2.05%;1528;16.92%;42.95%;780;66;29;1.28%;3;2.18%;0.38%;51.05%;16;92;8;5.26%;3;132;335;3;11.79%;3.72%;8.46%;8;41;10;17;827903008;39;5.00%
Parlament;2024;4.08%;1532;6.67%;22.59%;1005;105;236;4.28%;5;0.80%;0.50%;65.60%;41;179;6;6.17%;5;67;227;5;17.81%;23.48%;10.45%;6;62;43;8;827905006;32;3.18%
Parlament;2024;2.79%;701;13.93%;34.98%;323;23;26;0.62%;5;2.48%;0.62%;46.08%;9;56;15;7.74%;5;45;113;2;17.34%;8.05%;7.12%;15;25;2;8;827905015;14;4.33%
Parlament;2024;4.85%;1020;11.87%;28.43%;598;42;109;2.17%;4;1.67%;0.17%;58.63%;29;86;12;7.02%;4;71;170;1;14.38%;18.23%;7.02%;12;42;13;10;827904012;25;4.18%
Parlament;2024;2.19%;1141;18.72%;32.04%;593;58;62;1.85%;6;1.85%;1.85%;51.97%;13;71;5;4.38%;6;111;190;11;11.97%;10.46%;9.78%;5;26;11;11;827906005;29;4.89%
Parlament;2024;4.19%;1165;9.05%;29.32%;740;59;128;3.24%;1;1.49%;0.81%;63.52%;31;120;12;7.84%;1;67;217;6;16.22%;17.30%;7.97%;12;58;24;11;827901012;19;2.57%
Parlament;2024;4.83%;1938;8.07%;25.37%;1202;99;311;3.08%;4;1.50%;0.67%;62.02%;58;168;18;4.99%;4;97;305;8;13.98%;25.87%;8.24%;18;60;37;18;827904018;41;3.41%
Parlament;2024;1.60%;1865;18.25%;34.58%;937;86;82;2.35%;4;2.24%;0.96%;50.24%;15;126;7;5.44%;4;171;324;9;13.45%;8.75%;9.18%;7;51;22;21;827904007;30;3.20%
Parlament;2024;6.11%;1159;3.06%;12.61%;785;75;320;4.84%;1;0.64%;0.38%;67.73%;48;98;2;5.86%;1;24;99;3;12.48%;40.76%;9.55%;2;46;38;5;827901002;29;3.69%
