Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2015;3;6;08279803006;1442;869;13;4;852;59,99%;159;0.1866;165;0.1937;179;0.2101;35;0.0411;127;0.1491;85;0.0998;83;0.0974;6;0.007;;;0;0;0;0;0;0;0;0;0;0;13;0.0153
Municipals;2015;3;7;08279803007;1622;911;19;1;891;56,10%;187;0.2099;130;0.1459;192;0.2155;34;0.0382;160;0.1796;102;0.1145;70;0.0786;6;0.0067;;;0;0;0;0;0;0;0;0;0;0;10;0.0112
Municipals;2015;3;8;08279803008;1575;812;12;1;799;51,49%;389;0.4869;23;0.0288;40;0.0501;57;0.0713;203;0.2541;68;0.0851;5;0.0063;4;0.005;;;0;0;0;0;0;0;0;0;0;0;10;0.0125
Municipals;2015;3;9;08279803009;1948;1070;13;9;1048;54,47%;228;0.2176;120;0.1145;141;0.1345;44;0.042;250;0.2385;147;0.1403;77;0.0735;26;0.0248;;;0;0;0;0;0;0;0;0;0;0;15;0.0143
Municipals;2015;3;10;08279803010;1551;715;15;6;694;45,71%;290;0.4179;12;0.0173;28;0.0403;32;0.0461;176;0.2536;102;0.147;16;0.0231;19;0.0274;;;0;0;0;0;0;0;0;0;0;0;19;0.0274
Municipals;2015;3;11;08279803011;1146;457;7;5;445;39,44%;210;0.4719;10;0.0225;21;0.0472;17;0.0382;93;0.209;69;0.1551;2;0.0045;14;0.0315;;;0;0;0;0;0;0;0;0;0;0;9;0.0202
Municipals;2015;3;12;08279803012;1756;912;20;5;887;51,65%;302;0.3405;32;0.0361;48;0.0541;89;0.1003;170;0.1917;182;0.2052;34;0.0383;18;0.0203;;;0;0;0;0;0;0;0;0;0;0;12;0.0135
Municipals;2015;3;14;08279803014;1117;501;9;3;489;44,58%;170;0.3476;24;0.0491;47;0.0961;51;0.1043;95;0.1943;52;0.1063;29;0.0593;18;0.0368;;;0;0;0;0;0;0;0;0;0;0;3;0.0061
Municipals;2015;3;15;08279803015;939;512;7;7;498;53,78%;184;0.3695;42;0.0843;55;0.1104;33;0.0663;99;0.1988;46;0.0924;29;0.0582;4;0.008;;;0;0;0;0;0;0;0;0;0;0;6;0.012
Municipals;2015;3;16;08279803016;652;365;5;4;356;55,37%;165;0.4635;3;0.0084;10;0.0281;30;0.0843;82;0.2303;45;0.1264;6;0.0169;11;0.0309;;;0;0;0;0;0;0;0;0;0;0;4;0.0112
