Districte;Secció;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona ;Bruta - Neta Hogar;Bruta - Neta Persona;Presión fiscal Hogar;Presión fiscal Persona;CDIS;CSEC;Pressió H;Pressió P
4;22;49.321;16.926;40.488;13.895;8.833;3.031;17.91%;17.91%;4;22;17.91;17.91
4;23;44.547;16.102;37.067;13.398;7.480;2.704;16.79%;16.79%;4;23;16.79;16.79
4;24;53.101;17.686;43.259;14.407;9.842;3.279;18.53%;18.54%;4;24;18.53;18.54
4;25;40.905;15.838;34.260;13.265;6.645;2.573;16.24%;16.25%;4;25;16.24;16.25
4;26;55.911;22.395;44.019;17.632;11.892;4.763;21.27%;21.27%;4;26;21.27;21.27
5;1;54.660;19.188;44.629;15.667;10.031;3.521;18.35%;18.35%;5;1;18.35;18.35
5;2;36.330;14.564;31.439;12.604;4.891;1.960;13.46%;13.46%;5;2;13.46;13.46
5;3;44.785;17.808;36.766;14.619;8.019;3.189;17.91%;17.91%;5;3;17.91;17.91
5;4;47.760;18.766;38.385;15.082;9.375;3.684;19.63%;19.63%;5;4;19.63;19.63
5;5;41.955;18.172;34.563;14.970;7.392;3.202;17.62%;17.62%;5;5;17.62;17.62
5;6;48.045;19.956;38.628;16.045;9.417;3.911;19.60%;19.60%;5;6;19.6;19.6
5;7;56.319;21.752;44.873;17.331;11.446;4.421;20.32%;20.32%;5;7;20.32;20.32
5;8;49.949;20.125;40.270;16.226;9.679;3.899;19.38%;19.37%;5;8;19.38;19.37
5;9;47.490;19.458;38.934;15.952;8.556;3.506;18.02%;18.02%;5;9;18.02;18.02
5;10;37.640;12.547;32.948;10.983;4.692;1.564;12.47%;12.47%;5;10;12.47;12.47
5;11;45.514;18.041;37.587;14.899;7.927;3.142;17.42%;17.42%;5;11;17.42;17.42
5;12;41.113;16.056;34.368;13.422;6.745;2.634;16.41%;16.41%;5;12;16.41;16.41
5;13;40.133;15.304;33.527;12.785;6.606;2.519;16.46%;16.46%;5;13;16.46;16.46
5;14;42.885;15.193;36.033;12.765;6.852;2.428;15.98%;15.98%;5;14;15.98;15.98
5;15;37.686;14.287;31.972;12.121;5.714;2.166;15.16%;15.16%;5;15;15.16;15.16
5;16;38.015;15.307;31.892;12.841;6.123;2.466;16.11%;16.11%;5;16;16.11;16.11
5;17;50.718;19.204;40.645;15.390;10.073;3.814;19.86%;19.86%;5;17;19.86;19.86
5;18;35.063;15.224;30.269;13.143;4.794;2.081;13.67%;13.67%;5;18;13.67;13.67
5;19;54.626;19.550;43.664;15.627;10.962;3.923;20.07%;20.07%;5;19;20.07;20.07
5;20;49.513;19.149;40.266;15.573;9.247;3.576;18.68%;18.67%;5;20;18.68;18.67
5;21;41.229;17.215;34.528;14.417;6.701;2.798;16.25%;16.25%;5;21;16.25;16.25
5;22;44.106;15.980;36.873;13.360;7.233;2.620;16.40%;16.40%;5;22;16.4;16.4
5;23;55.973;21.912;44.026;17.235;11.947;4.677;21.34%;21.34%;5;23;21.34;21.34
5;24;53.973;21.055;42.745;16.674;11.228;4.381;20.80%;20.81%;5;24;20.8;20.81
5;25;48.819;18.994;39.505;15.370;9.314;3.624;19.08%;19.08%;5;25;19.08;19.08
5;26;49.834;20.631;40.536;16.782;9.298;3.849;18.66%;18.66%;5;26;18.66;18.66
5;27;48.243;20.257;38.928;16.345;9.315;3.912;19.31%;19.31%;5;27;19.31;19.31
5;28;51.631;19.121;41.782;15.474;9.849;3.647;19.08%;19.07%;5;28;19.08;19.07
5;29;58.293;19.233;46.343;15.290;11.950;3.943;20.50%;20.50%;5;29;20.5;20.5
6;1;39.002;14.284;33.215;12.164;5.787;2.120;14.84%;14.84%;6;1;14.84;14.84
6;2;36.828;13.524;31.139;11.435;5.689;2.089;15.45%;15.45%;6;2;15.45;15.45
6;3;34.566;13.005;29.441;11.077;5.125;1.928;14.83%;14.83%;6;3;14.83;14.83
