Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;2;11;36;71.91;26;103;2.24;17.73;6.2;6;8.61;1.03;45.61;580;1;50;265;577;578;2;74;2;808;12.74;4.48;11;13;4;0.69
Parlament;2017;2;12;36;66.72;25;83;1.81;18.74;8.13;8;10.84;1.81;42.44;439;4;48;188;434;438;1;37;2;664;8.35;5.64;12;8;1;0.23
Parlament;2017;2;14;108;81.52;33;165;2.7;13.5;8.84;24;11.62;1.96;41;1216;6;142;501;1205;1211;5;199;2;1499;16.28;2.7;14;33;0;0
Parlament;2017;2;15;15;65.02;24;63;1.63;17.12;4.08;7;6.25;1.9;54.89;368;0;23;202;366;366;2;24;2;566;6.52;6.52;15;6;2;0.55
Parlament;2017;2;16;96;83.4;24;185;2.97;14.85;7.7;26;12.44;2.09;37;1242;4;155;461;1235;1239;3;242;2;1494;19.42;1.93;16;37;9;0.73
Parlament;2017;2;17;75;75.15;35;169;3.44;17.09;7.58;16;10.21;1.62;39.53;986;3;101;391;978;981;5;151;2;1316;15.27;3.54;17;34;6;0.61
Parlament;2017;3;1;192;83.08;39;150;2.73;13.64;17.45;8;8.36;0.73;27.45;1094;6;92;302;1082;1088;6;262;3;1324;23.82;3.55;1;30;7;0.65
Parlament;2017;3;2;147;86.42;21;139;4.35;14.76;15.61;11;8.28;1.17;26.86;933;9;78;253;919;928;5;227;3;1090;24.1;2.23;2;41;2;0.22
Parlament;2017;3;3;99;79.09;38;166;3.04;17.42;10.39;10;10.39;1.05;35.05;952;1;99;334;946;947;5;169;3;1205;17.73;3.99;3;29;2;0.21
Parlament;2017;3;4;68;78.29;36;122;2.96;16.42;9.15;11;14.54;1.48;32.03;738;5;108;238;732;737;1;124;3;949;16.69;4.85;4;22;3;0.41
Parlament;2017;3;5;295;81.48;32;159;4.63;11.33;21.03;18;8.55;1.28;20.96;1394;9;120;294;1376;1385;9;387;3;1722;27.58;2.28;5;65;6;0.44
Parlament;2017;3;6;307;86.18;27;122;4.46;9.55;24.02;5;8.14;0.39;20.58;1271;7;104;263;1263;1270;1;374;3;1483;29.26;2.11;6;57;4;0.32
Parlament;2017;3;7;281;86.12;34;159;4.73;11.39;20.13;17;10.89;1.22;21.99;1387;9;152;307;1374;1383;4;352;3;1621;25.21;2.44;7;66;6;0.44
Parlament;2017;3;8;67;78.75;62;270;3.39;22.35;5.55;13;10.51;1.08;37.5;1200;8;127;453;1183;1191;9;147;3;1534;12.17;5.13;8;41;3;0.25
Parlament;2017;3;9;245;82.98;39;226;4.82;14.13;15.32;19;9.57;1.19;28.52;1590;9;153;456;1580;1589;1;362;3;1927;22.64;2.44;9;77;3;0.19
Parlament;2017;3;10;45;82.05;54;289;1.62;23.42;3.65;21;9.89;1.7;44;1224;10;122;543;1206;1216;8;107;3;1504;8.67;4.38;10;20;5;0.41
Parlament;2017;3;11;38;72.2;33;151;1.21;18.28;4.6;12;7.63;1.45;50.61;825;1;63;418;816;817;8;88;3;1144;10.65;4;11;10;3;0.37
Parlament;2017;3;12;88;82.37;97;242;1.86;16.66;6.06;17;8.05;1.17;44.94;1446;7;117;653;1433;1440;6;188;3;1764;12.94;6.68;12;27;4;0.28
Parlament;2017;3;14;70;71.61;46;142;4.32;18.04;8.89;13;9.02;1.65;34.05;783;4;71;268;776;780;3;130;3;1099;16.52;5.84;14;34;2;0.26
