Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;DL;% DL;En Comú;% En Comú;ERC;% ERC;PACMA;% PACMA;PP;% PP;PSC;% PSC;Unió;% Unió
Generals;2015;2;15;0827902015;584;323;0;1;322;55,31%;44;13,62%;2;0,62%;104;32,20%;8;2,48%;4;1,24%;47;14,55%;111;34,37%;0;0,00%
Generals;2015;2;16;0827902016;1309;931;5;5;921;71,50%;215;22,97%;27;2,88%;380;40,60%;68;7,26%;24;2,56%;62;6,62%;125;13,35%;8;0,85%
Generals;2015;2;17;0827902017;1256;853;2;2;849;68,07%;157;18,36%;17;1,99%;336;39,30%;46;5,38%;24;2,81%;72;8,42%;183;21,40%;6;0,70%
Generals;2015;3;1;0827903001;1317;949;2;1;946;72,21%;134;14,09%;117;12,30%;311;32,70%;136;14,30%;8;0,84%;75;7,89%;148;15,56%;11;1,16%
Generals;2015;3;2;0827903002;1066;821;5;1;815;77,49%;125;15,13%;88;10,65%;258;31,23%;115;13,92%;9;1,09%;74;8,96%;130;15,74%;8;0,97%
Generals;2015;3;3;0827903003;1169;807;4;1;802;69,38%;130;16,03%;59;7,27%;260;32,06%;70;8,63%;11;1,36%;89;10,97%;166;20,47%;6;0,74%
Generals;2015;3;4;0827903004;934;618;9;6;603;67,13%;92;14,67%;31;4,94%;231;36,84%;55;8,77%;7;1,12%;76;12,12%;99;15,79%;3;0,48%
Generals;2015;3;5;0827903005;1523;1080;10;7;1063;71,57%;139;12,75%;175;16,06%;299;27,43%;205;18,81%;16;1,47%;59;5,41%;151;13,85%;15;1,38%
Generals;2015;3;6;0827903006;1453;1089;1;2;1086;75,02%;138;12,66%;184;16,88%;298;27,34%;256;23,49%;18;1,65%;67;6,15%;101;9,27%;18;1,65%
Generals;2015;3;7;0827903007;1630;1214;11;7;1196;75,15%;167;13,63%;172;14,04%;377;30,78%;221;18,04%;13;1,06%;85;6,94%;136;11,10%;11;0,90%
