Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;Convergència / Junts;% Convergència / Junts;ERC;% ERC;PP;% PP;Comuns / Sumar;% Comuns / Sumar;Cs;% Cs;CUP;% CUP;Unió;% Unió;PACMA;% PACMA;Front Republicà;% Front Republicà;VOX;% VOX;Más País;% Más País;Altres;% Altres
Generals;2023;1;8;0827901008;973;683;3;4;676;0.702;125;0.1849;203;0.3003;116;0.1716;72;0.1065;68;0.1006;;;27;0.0399;;;6;0.0089;;;33;0.0488;;;26;0.0385
Generals;2023;1;9;0827901009;1047;757;12;4;741;0.723;155;0.2092;170;0.2294;126;0.17;92;0.1242;98;0.1323;;;24;0.0324;;;3;0.004;;;44;0.0594;;;29;0.0391
Generals;2023;1;10;0827901010;1008;731;4;5;722;0.7252;198;0.2742;122;0.169;151;0.2091;70;0.097;92;0.1274;;;25;0.0346;;;6;0.0083;;;41;0.0568;;;17;0.0235
Generals;2023;1;11;0827901011;955;653;8;8;637;0.6838;232;0.3642;43;0.0675;92;0.1444;75;0.1177;122;0.1915;;;13;0.0204;;;9;0.0141;;;46;0.0722;;;5;0.0078
Generals;2023;1;12;0827901012;1143;805;5;9;791;0.7043;293;0.3704;70;0.0885;99;0.1252;69;0.0872;159;0.201;;;16;0.0202;;;11;0.0139;;;63;0.0796;;;11;0.0139
Generals;2023;1;13;0827901013;634;409;6;2;401;0.6451;193;0.4813;5;0.0125;40;0.0998;39;0.0973;60;0.1496;;;4;0.01;;;10;0.0249;;;47;0.1172;;;3;0.0075
Generals;2023;1;14;0827901014;1540;1038;8;3;1027;0.674;377;0.3671;75;0.073;94;0.0915;181;0.1762;160;0.1558;;;25;0.0243;;;14;0.0136;;;95;0.0925;;;6;0.0058
Generals;2023;1;15;0827901015;944;652;8;4;640;0.6907;251;0.3922;55;0.0859;77;0.1203;62;0.0969;99;0.1547;;;16;0.025;;;8;0.0125;;;62;0.0969;;;10;0.0156
Generals;2023;1;16;0827901016;1787;1256;8;12;1236;0.7029;393;0.318;188;0.1521;216;0.1748;123;0.0995;170;0.1375;;;30;0.0243;;;14;0.0113;;;80;0.0647;;;22;0.0178
Generals;2023;1;17;0827901017;1669;1194;2;10;1182;0.7154;336;0.2843;225;0.1904;206;0.1743;114;0.0964;192;0.1624;;;41;0.0347;;;10;0.0085;;;37;0.0313;;;21;0.0178
Generals;2023;1;18;0827901018;487;355;1;9;345;0.729;68;0.1971;83;0.2406;58;0.1681;32;0.0928;53;0.1536;;;24;0.0696;;;3;0.0087;;;17;0.0493;;;7;0.0203
Generals;2023;1;19;0827901019;1154;736;5;7;724;0.6378;242;0.3343;49;0.0677;96;0.1326;101;0.1395;133;0.1837;;;19;0.0262;;;7;0.0097;;;71;0.0981;;;6;0.0083
Generals;2023;1;20;0827901020;1195;849;7;3;839;0.7105;242;0.2884;112;0.1335;128;0.1526;102;0.1216;157;0.1871;;;37;0.0441;;;11;0.0131;;;41;0.0489;;;9;0.0107
Generals;2023;1;21;0827901021;1126;781;5;5;771;0.6936;227;0.2944;81;0.1051;113;0.1466;123;0.1595;130;0.1686;;;19;0.0246;;;16;0.0208;;;54;0.07;;;8;0.0104
Generals;2023;1;22;0827901022;1417;1019;14;8;997;0.7191;316;0.317;156;0.1565;156;0.1565;107;0.1073;120;0.1204;;;28;0.0281;;;11;0.011;;;81;0.0812;;;22;0.0221
Generals;2023;1;23;0827901023;1000;770;3;4;763;0.77;244;0.3198;113;0.1481;103;0.135;104;0.1363;104;0.1363;;;19;0.0249;;;6;0.0079;;;62;0.0813;;;8;0.0105
Generals;2023;1;24;0827901024;682;496;5;6;485;0.7273;104;0.2144;124;0.2557;86;0.1773;48;0.099;63;0.1299;;;26;0.0536;;;0;0;;;14;0.0289;;;20;0.0412
Generals;2023;1;25;0827901025;1046;723;10;7;706;0.6912;187;0.2649;136;0.1926;112;0.1586;76;0.1076;97;0.1374;;;26;0.0368;;;9;0.0127;;;33;0.0467;;;30;0.0425
Generals;2023;2;1;0827902001;1063;626;7;5;614;0.5889;276;0.4495;16;0.0261;37;0.0603;102;0.1661;88;0.1433;;;5;0.0081;;;7;0.0114;;;80;0.1303;;;3;0.0049
Generals;2023;2;3;0827902003;958;494;8;4;482;0.5157;246;0.5104;9;0.0187;26;0.0539;69;0.1432;58;0.1203;;;0;0;;;4;0.0083;;;67;0.139;;;3;0.0062
Generals;2023;2;4;0827902004;879;442;7;4;431;0.5028;233;0.5406;8;0.0186;17;0.0394;50;0.116;57;0.1323;;;3;0.007;;;3;0.007;;;55;0.1276;;;5;0.0116
Generals;2023;2;5;0827902005;828;502;10;5;487;0.6063;225;0.462;5;0.0103;28;0.0575;77;0.1581;84;0.1725;;;1;0.0021;;;7;0.0144;;;60;0.1232;;;0;0
Generals;2023;2;6;0827902006;714;424;7;1;416;0.5938;178;0.4279;12;0.0288;21;0.0505;60;0.1442;62;0.149;;;4;0.0096;;;5;0.012;;;71;0.1707;;;3;0.0072
Generals;2023;2;8;0827902008;773;470;12;2;456;0.608;200;0.4386;4;0.0088;37;0.0811;60;0.1316;67;0.1469;;;4;0.0088;;;7;0.0154;;;75;0.1645;;;2;0.0044
