Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;ERC;% ERC;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
5;5;755;541;6;4;531;71.66%;2;0.37%;129;24.02%;58;10.80%;37;6.89%;69;12.85%;223;41.53%;13;2.42%
5;6;1564;1167;18;4;1145;74.62%;8;0.69%;332;28.55%;89;7.65%;79;6.79%;125;10.75%;488;41.96%;24;2.06%
5;7;859;636;7;4;625;74.04%;2;0.32%;179;28.32%;63;9.97%;39;6.17%;79;12.50%;245;38.77%;18;2.85%
5;8;1376;995;29;1;965;72.31%;6;0.60%;232;23.34%;81;8.15%;78;7.85%;109;10.97%;445;44.77%;14;1.41%
5;9;1335;1020;12;4;1004;76.40%;7;0.69%;197;19.39%;55;5.41%;63;6.20%;178;17.52%;476;46.85%;28;2.76%
5;10;1528;1099;11;5;1083;71.92%;7;0.64%;98;8.96%;39;3.56%;61;5.58%;163;14.90%;696;63.62%;19;1.74%
5;11;1411;1037;18;2;1017;73.49%;11;1.06%;195;18.84%;49;4.73%;50;4.83%;191;18.45%;502;48.50%;19;1.84%
5;12;592;408;3;1;404;68.92%;4;0.98%;86;21.13%;23;5.65%;27;6.63%;62;15.23%;194;47.67%;8;1.97%
5;13;1007;673;4;2;667;66.83%;3;0.45%;80;11.92%;13;1.94%;19;2.83%;109;16.24%;424;63.19%;19;2.83%
5;14;1588;1153;13;2;1138;72.61%;12;1.04%;133;11.56%;49;4.26%;69;5.99%;194;16.85%;652;56.65%;29;2.52%
5;15;1505;985;9;3;973;65.45%;13;1.32%;102;10.39%;37;3.77%;50;5.09%;140;14.26%;607;61.81%;24;2.44%
5;16;1732;1204;11;8;1185;69.52%;8;0.67%;181;15.13%;46;3.85%;66;5.52%;202;16.89%;656;54.85%;26;2.17%
5;17;1295;908;6;1;901;70.12%;16;1.76%;137;15.10%;49;5.40%;60;6.62%;135;14.88%;484;53.36%;20;2.21%
5;18;1052;783;11;1;771;74.43%;9;1.15%;80;10.23%;12;1.53%;31;3.96%;174;22.25%;448;57.29%;17;2.17%
5;19;2232;1511;19;0;1492;67.70%;21;1.39%;239;15.82%;73;4.83%;92;6.09%;251;16.61%;782;51.75%;34;2.25%
5;20;1149;831;31;2;798;72.32%;5;0.60%;180;21.71%;64;7.72%;54;6.51%;101;12.18%;382;46.08%;12;1.45%
5;21;1391;1003;16;4;983;72.11%;8;0.80%;146;14.61%;59;5.91%;48;4.80%;171;17.12%;523;52.35%;28;2.80%
5;22;555;376;2;0;374;67.75%;2;0.53%;59;15.69%;23;6.12%;25;6.65%;66;17.55%;194;51.60%;5;1.33%
5;23;1206;872;13;6;853;72.31%;7;0.81%;281;32.45%;80;9.24%;25;2.89%;86;9.93%;350;40.42%;24;2.77%
5;24;1102;755;7;1;747;68.51%;10;1.33%;147;19.50%;39;5.17%;55;7.29%;123;16.31%;358;47.48%;15;1.99%
5;25;864;634;9;3;622;73.38%;5;0.79%;93;14.74%;27;4.28%;35;5.55%;108;17.12%;338;53.57%;16;2.54%
5;26;1027;771;15;7;749;75.07%;6;0.79%;213;27.88%;53;6.94%;47;6.15%;100;13.09%;320;41.88%;10;1.31%
6;1;882;643;16;1;626;72.90%;4;0.62%;57;8.88%;10;1.56%;25;3.89%;104;16.20%;420;65.42%;6;0.93%
6;2;1119;762;9;7;746;68.10%;11;1.46%;92;12.19%;18;2.38%;46;6.09%;114;15.10%;445;58.94%;20;2.65%
6;3;1426;973;19;3;951;68.23%;10;1.03%;96;9.90%;38;3.92%;55;5.67%;180;18.56%;556;57.32%;16;1.65%
6;4;891;612;6;4;602;68.69%;5;0.82%;72;11.84%;29;4.77%;35;5.76%;139;22.86%;310;50.99%;12;1.97%
6;5;1050;728;8;4;716;69.33%;12;1.66%;71;9.81%;33;4.56%;47;6.49%;108;14.92%;427;58.98%;18;2.49%
6;6;1095;720;16;5;699;65.75%;14;1.96%;59;8.25%;23;3.22%;51;7.13%;144;20.14%;396;55.38%;12;1.68%
6;8;1529;1082;14;5;1063;70.77%;7;0.65%;222;20.61%;74;6.87%;45;4.18%;128;11.88%;558;51.81%;29;2.69%
6;9;853;579;1;2;576;67.88%;6;1.04%;69;11.96%;17;2.95%;32;5.55%;93;16.12%;343;59.45%;16;2.77%
6;10;1530;1113;13;7;1093;72.75%;19;1.72%;131;11.84%;44;3.98%;44;3.98%;176;15.91%;661;59.76%;18;1.63%
6;11;1375;786;15;4;767;57.16%;10;1.28%;54;6.91%;21;2.69%;48;6.14%;140;17.90%;472;60.36%;22;2.81%
6;12;1006;714;17;4;693;70.97%;4;0.56%;80;11.27%;16;2.25%;45;6.34%;128;18.03%;411;57.89%;9;1.27%
6;13;684;515;7;2;506;75.29%;8;1.56%;34;6.63%;8;1.56%;49;9.55%;74;14.42%;321;62.57%;12;2.34%
6;14;707;466;9;0;457;65.91%;5;1.07%;35;7.51%;9;1.93%;16;3.43%;80;17.17%;303;65.02%;9;1.93%
6;16;954;619;6;11;602;64.88%;5;0.82%;55;9.05%;14;2.30%;34;5.59%;112;18.42%;367;60.36%;15;2.47%
6;18;512;354;1;0;353;69.14%;11;3.11%;18;5.08%;5;1.41%;11;3.11%;52;14.69%;249;70.34%;7;1.98%
6;19;479;304;7;1;296;63.47%;2;0.66%;26;8.58%;5;1.65%;12;3.96%;45;14.85%;200;66.01%;6;1.98%
6;20;495;333;2;1;330;67.27%;1;0.30%;23;6.93%;12;3.61%;24;7.23%;60;18.07%;204;61.45%;6;1.81%
6;21;786;468;2;3;463;59.54%;2;0.43%;29;6.24%;0;0.00%;25;5.38%;80;17.20%;313;67.31%;14;3.01%
6;23;964;648;7;5;636;67.22%;15;2.33%;62;9.64%;14;2.18%;28;4.35%;138;21.46%;366;56.92%;13;2.02%
6;24;1791;1216;13;8;1195;67.90%;6;0.50%;95;7.86%;28;2.32%;62;5.13%;278;23.01%;683;56.54%;43;3.56%
6;25;1382;936;14;5;917;67.73%;5;0.54%;62;6.66%;26;2.79%;43;4.62%;159;17.08%;601;64.55%;21;2.26%
6;26;1222;813;11;5;797;66.53%;13;1.61%;76;9.41%;17;2.10%;54;6.68%;148;18.32%;472;58.42%;17;2.10%
6;27;1001;657;10;3;644;65.63%;13;1.99%;33;5.05%;8;1.22%;32;4.89%;100;15.29%;445;68.04%;13;1.99%
6;28;1180;833;8;1;824;70.59%;12;1.44%;68;8.17%;13;1.56%;56;6.73%;163;19.59%;497;59.74%;15;1.80%
6;29;769;496;8;2;486;64.50%;4;0.81%;27;5.47%;9;1.82%;28;5.67%;95;19.23%;308;62.35%;15;3.04%
6;30;1925;1329;22;8;1299;69.04%;34;2.57%;162;12.26%;44;3.33%;74;5.60%;251;19.00%;707;53.52%;27;2.04%
6;31;760;466;1;8;457;61.32%;13;2.84%;34;7.42%;22;4.80%;36;7.86%;69;15.07%;278;60.70%;5;1.09%
