Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
4;9;756;480;8;6;466;63.49%;57;11.88%;0;0.00%;5;1.04%;43;8.96%;3;0.63%;1;0.21%;133;27.71%;182;37.92%;31;6.46%;5;1.04%;6;1.25%
4;10;457;279;3;3;273;61.05%;26;9.32%;1;0.36%;12;4.30%;32;11.47%;1;0.36%;0;0.00%;55;19.71%;128;45.88%;12;4.30%;5;1.79%;1;0.36%
4;11;566;375;6;6;363;66.25%;57;15.20%;2;0.53%;14;3.73%;45;12.00%;8;2.13%;2;0.53%;61;16.27%;148;39.47%;22;5.87%;3;0.80%;1;0.27%
4;12;969;666;19;12;635;68.73%;158;23.72%;7;1.05%;33;4.95%;77;11.56%;1;0.15%;9;1.35%;107;16.07%;222;33.33%;9;1.35%;7;1.05%;5;0.75%
4;13;1188;850;14;14;822;71.55%;265;31.18%;21;2.47%;79;9.29%;74;8.71%;9;1.06%;6;0.71%;135;15.88%;199;23.41%;14;1.65%;14;1.65%;6;0.71%
4;14;928;739;14;3;722;79.63%;355;48.04%;13;1.76%;75;10.15%;44;5.95%;3;0.41%;6;0.81%;106;14.34%;115;15.56%;1;0.14%;4;0.54%;0;0.00%
4;15;840;608;9;11;588;72.38%;328;53.95%;13;2.14%;64;10.53%;35;5.76%;2;0.33%;4;0.66%;92;15.13%;48;7.89%;2;0.33%;0;0.00%;0;0.00%
4;16;927;716;7;8;701;77.24%;361;50.42%;14;1.96%;61;8.52%;49;6.84%;7;0.98%;9;1.26%;112;15.64%;78;10.89%;1;0.14%;6;0.84%;3;0.42%
4;17;1056;807;16;11;780;76.42%;344;42.63%;8;0.99%;80;9.91%;65;8.05%;9;1.12%;9;1.12%;104;12.89%;138;17.10%;13;1.61%;7;0.87%;3;0.37%
4;18;1596;1155;28;12;1115;72.37%;394;34.11%;18;1.56%;96;8.31%;102;8.83%;15;1.30%;4;0.35%;178;15.41%;279;24.16%;13;1.13%;12;1.04%;4;0.35%
4;19;893;602;13;4;585;67.41%;128;21.26%;12;1.99%;20;3.32%;56;9.30%;4;0.66%;8;1.33%;154;25.58%;179;29.73%;11;1.83%;11;1.83%;2;0.33%
4;20;533;305;3;2;300;57.22%;17;5.57%;1;0.33%;5;1.64%;21;6.89%;3;0.98%;2;0.66%;61;20.00%;163;53.44%;23;7.54%;4;1.31%;0;0.00%
4;21;789;535;9;8;518;67.81%;52;9.72%;6;1.12%;23;4.30%;43;8.04%;5;0.93%;3;0.56%;125;23.36%;226;42.24%;24;4.49%;9;1.68%;2;0.37%
4;22;1587;1039;22;6;1011;65.47%;158;15.21%;17;1.64%;28;2.69%;136;13.09%;11;1.06%;10;0.96%;242;23.29%;327;31.47%;50;4.81%;29;2.79%;3;0.29%
4;23;1521;1067;20;15;1032;70.15%;195;18.28%;12;1.12%;33;3.09%;135;12.65%;4;0.37%;5;0.47%;240;22.49%;348;32.61%;35;3.28%;22;2.06%;3;0.28%
4;24;1442;929;34;21;874;64.42%;180;19.38%;4;0.43%;29;3.12%;81;8.72%;9;0.97%;10;1.08%;259;27.88%;266;28.63%;24;2.58%;8;0.86%;4;0.43%
