Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;VOX;% VOX;PxC;% PxC;Reagrupament;% Reagrupament;SI;% SI;Aliança;% Aliança;PACMA;% PACMA;Unió;% Unió;JxSí;% JxSí;Altres;% Altres
Parlament;2010;1;13;624;369;12;0;357;61.06;89;24.12%;107;29.00%;21;5.69%;55;14.91%;39;10.57%;22;5.96%;;;;;5;1.36%;2;0.54%;2;0.54%;;;;;;;;;15;4.07%
Parlament;2010;1;14;1589;906;26;2;878;58.65;224;24.72%;288;31.79%;40;4.42%;127;14.02%;67;7.40%;47;5.19%;;;;;26;2.87%;11;1.21%;18;1.99%;;;;;;;;;30;3.31%
Parlament;2010;1;15;911;589;21;4;564;66.96;122;20.71%;215;36.50%;53;9.00%;38;6.45%;61;10.36%;22;3.74%;;;;;7;1.19%;8;1.36%;18;3.06%;;;;;;;;;20;3.40%
Parlament;2010;1;16;1752;1178;32;5;1141;69.06;177;15.03%;508;43.12%;98;8.32%;109;9.25%;86;7.30%;27;2.29%;;;;;20;1.70%;32;2.72%;42;3.57%;;;;;;;;;42;3.57%
Parlament;2010;1;17;1642;1192;34;10;1148;74.67;122;10.23%;604;50.67%;105;8.81%;82;6.88%;91;7.63%;19;1.59%;;;;;15;1.26%;20;1.68%;55;4.61%;;;;;;;;;35;2.94%
Parlament;2010;1;18;423;302;9;3;290;73.52;26;8.61%;161;53.31%;25;8.28%;17;5.63%;18;5.96%;8;2.65%;;;;;4;1.32%;4;1.32%;16;5.30%;;;;;;;;;11;3.64%
Parlament;2010;1;19;1018;645;19;10;616;65.23;117;18.14%;236;36.59%;35;5.43%;83;12.87%;62;9.61%;17;2.64%;;;;;20;3.10%;5;0.78%;23;3.57%;;;;;;;;;18;2.79%
Parlament;2010;1;20;919;679;20;0;659;76.06;95;13.99%;301;44.33%;58;8.54%;69;10.16%;44;6.48%;29;4.27%;;;;;3;0.44%;13;1.91%;24;3.53%;;;;;;;;;23;3.39%
Parlament;2010;1;21;1028;681;25;1;655;68.68;110;16.15%;296;43.47%;48;7.05%;58;8.52%;51;7.49%;35;5.14%;;;;;17;2.50%;8;1.17%;19;2.79%;;;;;;;;;13;1.91%
Parlament;2010;1;22;1273;866;23;2;841;69.84;104;12.01%;441;50.92%;84;9.70%;78;9.01%;42;4.85%;16;1.85%;;;;;6;0.69%;18;2.08%;33;3.81%;;;;;;;;;19;2.19%
Parlament;2010;1;23;910;672;27;4;641;76.81;64;9.52%;312;46.43%;52;7.74%;75;11.16%;40;5.95%;29;4.32%;;;;;14;2.08%;12;1.79%;23;3.42%;;;;;;;;;20;2.98%
Parlament;2010;1;24;611;478;10;2;466;79.87;30;6.28%;269;56.28%;41;8.58%;41;8.58%;30;6.28%;8;1.67%;;;;;2;0.42%;11;2.30%;23;4.81%;;;;;;;;;11;2.30%
Parlament;2010;2;1;1042;595;22;3;570;59.21;201;33.78%;114;19.16%;24;4.03%;101;16.97%;46;7.73%;21;3.53%;;;;;29;4.87%;1;0.17%;11;1.85%;;;;;;;;;22;3.70%
Parlament;2010;2;2;506;244;11;0;233;50.4;99;40.57%;42;17.21%;6;2.46%;40;16.39%;14;5.74%;3;1.23%;;;;;6;2.46%;0;0.00%;3;1.23%;;;;;;;;;20;8.20%
Parlament;2010;2;3;501;247;5;3;239;50.3;95;38.46%;64;25.91%;7;2.83%;43;17.41%;8;3.24%;3;1.21%;;;;;15;6.07%;2;0.81%;0;0.00%;;;;;;;;;2;0.81%
Parlament;2010;2;4;734;388;12;3;373;54.5;144;37.11%;78;20.10%;6;1.55%;57;14.69%;30;7.73%;17;4.38%;;;;;31;7.99%;0;0.00%;0;0.00%;;;;;;;;;10;2.58%
Parlament;2010;2;5;762;410;7;6;397;54.72;125;30.49%;109;26.59%;9;2.20%;62;15.12%;22;5.37%;20;4.88%;;;;;36;8.78%;0;0.00%;2;0.49%;;;;;;;;;12;2.93%
Parlament;2010;2;6;691;406;13;5;388;60.64;105;25.86%;110;27.09%;12;2.96%;63;15.52%;33;8.13%;20;4.93%;;;;;25;6.16%;0;0.00%;8;1.97%;;;;;;;;;12;2.96%
Parlament;2010;2;7;308;153;10;0;143;52.92;37;24.18%;33;21.57%;5;3.27%;35;22.88%;13;8.50%;6;3.92%;;;;;6;3.92%;0;0.00%;2;1.31%;;;;;;;;;6;3.92%
Parlament;2010;2;8;723;377;13;1;363;53.94;119;31.56%;107;28.38%;9;2.39%;37;9.81%;32;8.49%;19;5.04%;;;;;32;8.49%;1;0.27%;1;0.27%;;;;;;;;;6;1.59%
Parlament;2010;2;9;560;290;5;0;285;52.68;106;36.55%;69;23.79%;12;4.14%;35;12.07%;22;7.59%;19;6.55%;;;;;10;3.45%;2;0.69%;3;1.03%;;;;;;;;;7;2.41%
Parlament;2010;2;10;454;260;4;2;254;58.15;71;27.31%;70;26.92%;8;3.08%;38;14.62%;28;10.77%;9;3.46%;;;;;11;4.23%;0;0.00%;2;0.77%;;;;;;;;;17;6.54%
Parlament;2010;2;11;853;422;7;2;413;50.29;118;27.96%;117;27.73%;12;2.84%;64;15.17%;26;6.16%;25;5.92%;;;;;30;7.11%;0;0.00%;3;0.71%;;;;;;;;;18;4.27%
Parlament;2010;2;12;631;298;12;2;284;49.13;75;25.17%;94;31.54%;6;2.01%;39;13.09%;22;7.38%;2;0.67%;;;;;19;6.38%;1;0.34%;2;0.67%;;;;;;;;;24;8.05%
Parlament;2010;2;14;1362;689;16;3;670;51.76;134;19.45%;199;28.88%;32;4.64%;102;14.80%;64;9.29%;55;7.98%;;;;;41;5.95%;2;0.29%;17;2.47%;;;;;;;;;24;3.48%
Parlament;2010;2;15;642;280;2;3;275;43.93;62;22.14%;158;56.43%;9;3.21%;6;2.14%;13;4.64%;4;1.43%;;;;;17;6.07%;0;0.00%;3;1.07%;;;;;;;;;3;1.07%
Parlament;2010;2;16;1116;579;18;0;561;53.49;91;15.72%;163;28.15%;31;5.35%;63;10.88%;73;12.61%;48;8.29%;;;;;45;7.77%;6;1.04%;11;1.90%;;;;;;;;;30;5.18%
Parlament;2010;2;17;813;374;2;1;371;46.25;90;24.06%;114;30.48%;8;2.14%;36;9.63%;39;10.43%;19;5.08%;;;;;43;11.50%;0;0.00%;1;0.27%;;;;;;;;;21;5.61%
Parlament;2010;3;1;1324;791;14;4;773;60.8;148;18.71%;324;40.96%;42;5.31%;86;10.87%;65;8.22%;40;5.06%;;;;;16;2.02%;14;1.77%;23;2.91%;;;;;;;;;15;1.90%
Parlament;2010;3;2;973;625;18;1;606;66.08;103;16.48%;252;40.32%;44;7.04%;76;12.16%;56;8.96%;24;3.84%;;;;;12;1.92%;7;1.12%;8;1.28%;;;;;;;;;24;3.84%
Parlament;2010;3;3;1155;602;15;2;585;53.42;145;24.09%;196;32.56%;36;5.98%;80;13.29%;51;8.47%;23;3.82%;;;;;24;3.99%;3;0.50%;4;0.66%;;;;;;;;;23;3.82%
Parlament;2010;3;4;911;447;13;3;431;50.49;116;25.95%;141;31.54%;27;6.04%;61;13.65%;34;7.61%;19;4.25%;;;;;12;2.68%;3;0.67%;3;0.67%;;;;;;;;;15;3.36%
Parlament;2010;3;5;1363;807;29;0;778;61.34;123;15.24%;355;43.99%;69;8.55%;51;6.32%;63;7.81%;22;2.73%;;;;;23;2.85%;4;0.50%;35;4.34%;;;;;;;;;33;4.09%
Parlament;2010;3;6;1387;884;35;4;845;66.26;113;12.78%;411;46.49%;60;6.79%;64;7.24%;54;6.11%;43;4.86%;;;;;21;2.38%;5;0.57%;44;4.98%;;;;;;;;;30;3.39%
Parlament;2010;3;7;1495;952;21;7;924;65.08;107;11.24%;450;47.27%;80;8.40%;55;5.78%;96;10.08%;42;4.41%;;;;;30;3.15%;11;1.16%;22;2.31%;;;;;;;;;31;3.26%
Parlament;2010;3;8;1210;547;5;4;538;45.62;224;40.95%;107;19.56%;10;1.83%;86;15.72%;49;8.96%;13;2.38%;;;;;29;5.30%;0;0.00%;1;0.18%;;;;;;;;;19;3.47%
Parlament;2010;3;9;1782;1065;43;3;1019;62.18;185;17.37%;404;37.93%;61;5.73%;48;4.51%;107;10.05%;55;5.16%;;;;;23;2.16%;63;5.92%;28;2.63%;;;;;;;;;45;4.23%
Parlament;2010;3;10;1545;665;13;2;650;43.88;210;31.58%;157;23.61%;20;3.01%;103;15.49%;65;9.77%;26;3.91%;;;;;28;4.21%;4;0.60%;2;0.30%;;;;;;;;;35;5.26%
Parlament;2010;3;11;1104;433;10;2;421;40.13;129;29.79%;88;20.32%;7;1.62%;75;17.32%;24;5.54%;29;6.70%;;;;;42;9.70%;1;0.23%;11;2.54%;;;;;;;;;15;3.46%
Parlament;2010;3;12;1701;915;24;5;886;55.2;242;26.45%;224;24.48%;36;3.93%;199;21.75%;45;4.92%;73;7.98%;;;;;39;4.26%;0;0.00%;1;0.11%;;;;;;;;;27;2.95%
Parlament;2010;3;13;401;203;6;0;197;52.12;58;28.57%;61;30.05%;6;2.96%;20;9.85%;15;7.39%;8;3.94%;;;;;17;8.37%;2;0.99%;3;1.48%;;;;;;;;;7;3.45%
Parlament;2010;3;14;1099;564;25;4;535;53.59;149;26.42%;148;26.24%;39;6.91%;83;14.72%;40;7.09%;8;1.42%;;;;;30;5.32%;4;0.71%;10;1.77%;;;;;;;;;24;4.26%
Parlament;2010;3;15;844;491;12;1;478;59.6;108;22.00%;164;33.40%;25;5.09%;63;12.83%;58;11.81%;17;3.46%;;;;;22;4.48%;3;0.61%;3;0.61%;;;;;;;;;15;3.05%
Parlament;2010;3;16;596;344;11;1;332;59.56;127;36.92%;68;19.77%;8;2.33%;51;14.83%;15;4.36%;22;6.40%;;;;;23;6.69%;0;0.00%;0;0.00%;;;;;;;;;18;5.23%
Parlament;2010;3;17;857;431;11;5;415;51.58;145;33.64%;91;21.11%;19;4.41%;73;16.94%;24;5.57%;22;5.10%;;;;;16;3.71%;1;0.23%;6;1.39%;;;;;;;;;18;4.18%
Parlament;2010;3;18;766;418;12;2;404;56.14;110;26.32%;98;23.44%;10;2.39%;77;18.42%;31;7.42%;24;5.74%;;;;;27;6.46%;1;0.24%;6;1.44%;;;;;;;;;20;4.78%
Parlament;2010;3;19;932;499;13;1;485;54.94;176;35.27%;119;23.85%;13;2.61%;65;13.03%;34;6.81%;24;4.81%;;;;;26;5.21%;6;1.20%;6;1.20%;;;;;;;;;16;3.21%
Parlament;2010;3;20;1194;659;32;1;626;57.87;141;21.40%;225;34.14%;42;6.37%;75;11.38%;57;8.65%;25;3.79%;;;;;31;4.70%;8;1.21%;11;1.67%;;;;;;;;;11;1.67%
Parlament;2010;4;1;1025;727;23;3;701;73.17;48;6.60%;403;55.43%;54;7.43%;55;7.57%;55;7.57%;17;2.34%;;;;;13;1.79%;10;1.38%;20;2.75%;;;;;;;;;26;3.58%
Parlament;2010;4;2;1115;747;14;2;731;68.25;77;10.31%;430;57.56%;55;7.36%;41;5.49%;37;4.95%;12;1.61%;;;;;5;0.67%;16;2.14%;41;5.49%;;;;;;;;;17;2.28%
Parlament;2010;4;3;1204;809;19;3;787;68.77;97;11.99%;370;45.74%;61;7.54%;75;9.27%;76;9.39%;12;1.48%;;;;;28;3.46%;15;1.85%;29;3.58%;;;;;;;;;24;2.97%
Parlament;2010;4;4;1097;711;22;16;673;66.82;144;20.25%;279;39.24%;45;6.33%;76;10.69%;42;5.91%;13;1.83%;;;;;18;2.53%;10;1.41%;23;3.23%;;;;;;;;;23;3.23%
Parlament;2010;4;5;1146;646;27;2;617;58.73;87;13.47%;271;41.95%;43;6.66%;50;7.74%;54;8.36%;32;4.95%;;;;;17;2.63%;18;2.79%;23;3.56%;;;;;;;;;22;3.41%
Parlament;2010;4;6;1351;804;27;5;772;61.51;188;23.38%;245;30.47%;31;3.86%;105;13.06%;62;7.71%;50;6.22%;;;;;20;2.49%;5;0.62%;24;2.99%;;;;;;;;;42;5.22%
Parlament;2010;4;7;1733;893;26;7;860;53.03;230;25.76%;239;26.76%;47;5.26%;105;11.76%;75;8.40%;41;4.59%;;;;;38;4.26%;14;1.57%;25;2.80%;;;;;;;;;46;5.15%
Parlament;2010;4;8;837;492;15;9;468;60.57;94;19.11%;165;33.54%;19;3.86%;74;15.04%;45;9.15%;23;4.67%;;;;;23;4.67%;4;0.81%;3;0.61%;;;;;;;;;18;3.66%
Parlament;2010;4;9;757;372;7;1;364;50.07;108;29.03%;94;25.27%;8;2.15%;65;17.47%;27;7.26%;19;5.11%;;;;;21;5.65%;0;0.00%;4;1.08%;;;;;;;;;18;4.84%
Parlament;2010;4;10;456;237;3;3;231;52.63;93;39.24%;44;18.57%;11;4.64%;27;11.39%;28;11.81%;10;4.22%;;;;;6;2.53%;2;0.84%;0;0.00%;;;;;;;;;10;4.22%
Parlament;2010;4;11;569;289;12;1;276;52.9;87;30.10%;89;30.80%;12;4.15%;18;6.23%;29;10.03%;11;3.81%;;;;;15;5.19%;4;1.38%;5;1.73%;;;;;;;;;6;2.08%
Parlament;2010;4;12;963;592;16;6;570;63.14;133;22.47%;203;34.29%;34;5.74%;51;8.61%;76;12.84%;19;3.21%;;;;;14;2.36%;8;1.35%;14;2.36%;;;;;;;;;18;3.04%
Parlament;2010;4;13;1197;780;21;2;757;66.92;125;16.03%;349;44.74%;58;7.44%;48;6.15%;57;7.31%;23;2.95%;;;;;21;2.69%;23;2.95%;26;3.33%;;;;;;;;;27;3.46%
Parlament;2010;4;14;952;711;17;2;692;76.47;69;9.70%;398;55.98%;52;7.31%;53;7.45%;30;4.22%;17;2.39%;;;;;5;0.70%;13;1.83%;39;5.49%;;;;;;;;;16;2.25%
Parlament;2010;4;15;824;596;13;0;583;73.91;39;6.54%;374;62.75%;38;6.38%;47;7.89%;28;4.70%;3;0.50%;;;;;9;1.51%;6;1.01%;25;4.19%;;;;;;;;;14;2.35%
Parlament;2010;4;16;914;687;14;5;668;76.7;43;6.26%;396;57.64%;34;4.95%;65;9.46%;51;7.42%;12;1.75%;;;;;3;0.44%;17;2.47%;22;3.20%;;;;;;;;;25;3.64%
Parlament;2010;4;17;1032;766;25;5;736;76.65;91;11.88%;377;49.22%;59;7.70%;65;8.49%;51;6.66%;23;3.00%;;;;;9;1.17%;14;1.83%;29;3.79%;;;;;;;;;18;2.35%
Parlament;2010;4;18;1563;1049;42;6;1001;69.8;162;15.44%;458;43.66%;72;6.86%;90;8.58%;79;7.53%;34;3.24%;;;;;27;2.57%;22;2.10%;29;2.76%;;;;;;;;;28;2.67%
Parlament;2010;4;19;907;516;25;4;487;59.65;103;19.96%;168;32.56%;28;5.43%;63;12.21%;40;7.75%;31;6.01%;;;;;13;2.52%;4;0.78%;13;2.52%;;;;;;;;;24;4.65%
Parlament;2010;4;20;527;249;4;6;239;48.01;104;41.77%;48;19.28%;7;2.81%;29;11.65%;12;4.82%;5;2.01%;;;;;23;9.24%;0;0.00%;0;0.00%;;;;;;;;;11;4.42%
Parlament;2010;4;21;780;426;9;2;415;55.77;142;33.33%;96;22.54%;16;3.76%;70;16.43%;33;7.75%;12;2.82%;;;;;30;7.04%;0;0.00%;9;2.11%;;;;;;;;;7;1.64%
Parlament;2010;4;22;1588;858;13;3;842;54.85;147;17.13%;269;31.35%;38;4.43%;88;10.26%;99;11.54%;37;4.31%;;;;;14;1.63%;74;8.62%;7;0.82%;;;;;;;;;69;8.04%
Parlament;2010;4;23;1526;880;28;5;847;59.5;186;21.14%;290;32.95%;30;3.41%;118;13.41%;99;11.25%;55;6.25%;;;;;30;3.41%;4;0.45%;8;0.91%;;;;;;;;;27;3.07%
Parlament;2010;4;24;1410;714;18;0;696;51.91;154;21.57%;226;31.65%;24;3.36%;131;18.35%;52;7.28%;50;7.00%;;;;;25;3.50%;7;0.98%;4;0.56%;;;;;;;;;23;3.22%
Parlament;2010;4;25;920;552;22;3;527;62.39;122;22.10%;183;33.15%;26;4.71%;69;12.50%;39;7.07%;36;6.52%;;;;;16;2.90%;12;2.17%;10;1.81%;;;;;;;;;14;2.54%
Parlament;2010;4;26;1013;724;11;1;712;72.56;66;9.12%;402;55.52%;56;7.73%;58;8.01%;56;7.73%;13;1.80%;;;;;3;0.41%;15;2.07%;30;4.14%;;;;;;;;;13;1.80%
Parlament;2010;5;1;1424;858;36;2;820;62.78;162;18.88%;327;38.11%;48;5.59%;101;11.77%;62;7.23%;42;4.90%;;;;;24;2.80%;16;1.86%;16;1.86%;;;;;;;;;22;2.56%
Parlament;2010;5;2;1128;566;10;5;551;51.06;160;28.27%;137;24.20%;26;4.59%;90;15.90%;54;9.54%;31;5.48%;;;;;24;4.24%;0;0.00%;10;1.77%;;;;;;;;;19;3.36%
Parlament;2010;5;3;1381;849;21;6;822;63;117;13.78%;416;49.00%;59;6.95%;79;9.31%;58;6.83%;24;2.83%;;;;;15;1.77%;12;1.41%;21;2.47%;;;;;;;;;21;2.47%
Parlament;2010;5;4;1103;723;24;3;696;67.72;129;17.84%;302;41.77%;66;9.13%;62;8.58%;50;6.92%;23;3.18%;;;;;10;1.38%;15;2.07%;12;1.66%;;;;;;;;;27;3.73%
Parlament;2010;5;5;766;492;15;2;475;66.19;71;14.43%;195;39.63%;41;8.33%;42;8.54%;53;10.77%;12;2.44%;;;;;23;4.67%;8;1.63%;24;4.88%;;;;;;;;;6;1.22%
Parlament;2010;5;6;1571;1078;37;7;1034;70.97;151;14.01%;489;45.36%;86;7.98%;84;7.79%;88;8.16%;41;3.80%;;;;;30;2.78%;24;2.23%;17;1.58%;;;;;;;;;24;2.23%
Parlament;2010;5;7;848;600;20;1;579;73.11;81;13.50%;260;43.33%;59;9.83%;50;8.33%;54;9.00%;20;3.33%;;;;;5;0.83%;10;1.67%;23;3.83%;;;;;;;;;17;2.83%
Parlament;2010;5;8;1383;859;33;7;819;64.5;133;15.48%;385;44.82%;77;8.96%;67;7.80%;70;8.15%;27;3.14%;;;;;11;1.28%;14;1.63%;24;2.79%;;;;;;;;;11;1.28%
Parlament;2010;5;9;1316;849;24;2;823;66.34;167;19.67%;327;38.52%;45;5.30%;115;13.55%;78;9.19%;30;3.53%;;;;;18;2.12%;5;0.59%;18;2.12%;;;;;;;;;20;2.36%
Parlament;2010;5;10;1460;782;17;2;763;54.73;270;34.53%;190;24.30%;25;3.20%;98;12.53%;73;9.34%;27;3.45%;;;;;28;3.58%;5;0.64%;10;1.28%;;;;;;;;;37;4.73%
Parlament;2010;5;11;1407;894;32;1;861;65.81;175;19.57%;316;35.35%;57;6.38%;131;14.65%;72;8.05%;29;3.24%;;;;;20;2.24%;9;1.01%;22;2.46%;;;;;;;;;30;3.36%
Parlament;2010;5;12;592;329;8;0;321;56.93;96;29.18%;113;34.35%;12;3.65%;34;10.33%;31;9.42%;6;1.82%;;;;;14;4.26%;1;0.30%;3;0.91%;;;;;;;;;11;3.34%
Parlament;2010;5;13;1008;493;15;1;477;50.4;138;27.99%;144;29.21%;24;4.87%;48;9.74%;44;8.92%;29;5.88%;;;;;32;6.49%;0;0.00%;3;0.61%;;;;;;;;;15;3.04%
Parlament;2010;5;14;1573;947;36;6;905;62.49;237;25.03%;295;31.15%;40;4.22%;115;12.14%;91;9.61%;32;3.38%;;;;;33;3.48%;6;0.63%;13;1.37%;;;;;;;;;43;4.54%
Parlament;2010;5;15;1520;707;18;1;688;47.7;215;30.41%;168;23.76%;34;4.81%;79;11.17%;82;11.60%;45;6.36%;;;;;27;3.82%;5;0.71%;8;1.13%;;;;;;;;;25;3.54%
Parlament;2010;5;16;1718;840;22;7;811;50.17;228;27.14%;270;32.14%;38;4.52%;110;13.10%;56;6.67%;39;4.64%;;;;;21;2.50%;3;0.36%;14;1.67%;;;;;;;;;32;3.81%
Parlament;2010;5;17;1261;753;27;2;724;61.86;135;17.93%;267;35.46%;52;6.91%;79;10.49%;77;10.23%;54;7.17%;;;;;25;3.32%;3;0.40%;14;1.86%;;;;;;;;;18;2.39%
Parlament;2010;5;18;1008;623;20;6;597;63.79;183;29.37%;151;24.24%;13;2.09%;116;18.62%;50;8.03%;35;5.62%;;;;;17;2.73%;4;0.64%;6;0.96%;;;;;;;;;22;3.53%
Parlament;2010;5;19;765;407;15;2;390;55.16;58;14.25%;172;42.26%;22;5.41%;22;5.41%;37;9.09%;34;8.35%;;;;;17;4.18%;3;0.74%;14;3.44%;;;;;;;;;11;2.70%
Parlament;2010;5;20;1169;700;22;2;676;61.76;112;16.00%;296;42.29%;51;7.29%;58;8.29%;63;9.00%;18;2.57%;;;;;10;1.43%;19;2.71%;21;3.00%;;;;;;;;;28;4.00%
Parlament;2010;5;21;1358;802;24;2;776;60.82;177;22.07%;266;33.17%;60;7.48%;114;14.21%;56;6.98%;35;4.36%;;;;;22;2.74%;10;1.25%;11;1.37%;;;;;;;;;25;3.12%
Parlament;2010;5;22;531;306;8;2;296;59.13;67;21.90%;93;30.39%;16;5.23%;35;11.44%;32;10.46%;16;5.23%;;;;;17;5.56%;4;1.31%;6;1.96%;;;;;;;;;10;3.27%
Parlament;2010;5;23;1170;764;28;6;730;67.69;91;11.91%;386;50.52%;72;9.42%;51;6.68%;49;6.41%;22;2.88%;;;;;6;0.79%;16;2.09%;21;2.75%;;;;;;;;;16;2.09%
Parlament;2010;5;24;1087;663;19;0;644;62.74;126;19.00%;238;35.90%;40;6.03%;78;11.76%;68;10.26%;39;5.88%;;;;;13;1.96%;4;0.60%;19;2.87%;;;;;;;;;19;2.87%
Parlament;2010;5;25;856;508;12;4;492;60.75;110;21.65%;191;37.60%;24;4.72%;59;11.61%;39;7.68%;32;6.30%;;;;;12;2.36%;0;0.00%;4;0.79%;;;;;;;;;21;4.13%
Parlament;2010;5;26;1001;715;32;6;677;74.63;117;16.36%;310;43.36%;45;6.29%;58;8.11%;63;8.81%;34;4.76%;;;;;7;0.98%;11;1.54%;15;2.10%;;;;;;;;;17;2.38%
Parlament;2010;5;27;923;636;28;2;606;71.94;102;16.04%;251;39.47%;40;6.29%;57;8.96%;53;8.33%;27;4.25%;;;;;14;2.20%;17;2.67%;16;2.52%;;;;;;;;;29;4.56%
Parlament;2010;5;28;872;567;21;4;542;67.43;131;23.10%;187;32.98%;31;5.47%;64;11.29%;46;8.11%;35;6.17%;;;;;13;2.29%;5;0.88%;10;1.76%;;;;;;;;;20;3.53%
Parlament;2010;5;29;849;539;9;4;526;64.55;109;20.22%;167;30.98%;26;4.82%;64;11.87%;53;9.83%;37;6.86%;;;;;28;5.19%;4;0.74%;10;1.86%;;;;;;;;;28;5.19%
Parlament;2010;6;1;843;491;8;1;482;59.19;195;39.71%;114;23.22%;13;2.65%;62;12.63%;34;6.92%;15;3.05%;;;;;14;2.85%;3;0.61%;6;1.22%;;;;;;;;;26;5.30%
Parlament;2010;6;2;1092;606;11;3;592;56.5;171;28.22%;175;28.88%;27;4.46%;87;14.36%;47;7.76%;20;3.30%;;;;;36;5.94%;8;1.32%;5;0.83%;;;;;;;;;16;2.64%
Parlament;2010;6;3;1438;755;14;6;735;53.48;184;24.37%;226;29.93%;25;3.31%;127;16.82%;77;10.20%;33;4.37%;;;;;39;5.17%;3;0.40%;2;0.26%;;;;;;;;;19;2.52%
Parlament;2010;6;4;877;460;10;0;450;53.59;125;27.17%;105;22.83%;10;2.17%;87;18.91%;36;7.83%;23;5.00%;;;;;34;7.39%;1;0.22%;13;2.83%;;;;;;;;;16;3.48%
Parlament;2010;6;5;1039;523;15;1;507;51.78;148;28.30%;141;26.96%;25;4.78%;69;13.19%;54;10.33%;21;4.02%;;;;;25;4.78%;1;0.19%;7;1.34%;;;;;;;;;16;3.06%
Parlament;2010;6;6;1113;555;13;8;534;51.03;115;20.72%;152;27.39%;18;3.24%;87;15.68%;49;8.83%;44;7.93%;;;;;36;6.49%;1;0.18%;6;1.08%;;;;;;;;;26;4.68%
Parlament;2010;6;8;1557;919;38;6;875;61.46;165;17.95%;364;39.61%;60;6.53%;90;9.79%;67;7.29%;32;3.48%;;;;;33;3.59%;16;1.74%;12;1.31%;;;;;;;;;36;3.92%
Parlament;2010;6;9;842;455;14;0;441;55.7;133;29.23%;123;27.03%;32;7.03%;54;11.87%;32;7.03%;24;5.27%;;;;;17;3.74%;1;0.22%;4;0.88%;;;;;;;;;21;4.62%
Parlament;2010;6;10;1523;918;22;5;891;61.72;269;29.30%;246;26.80%;30;3.27%;114;12.42%;74;8.06%;71;7.73%;;;;;40;4.36%;4;0.44%;8;0.87%;;;;;;;;;35;3.81%
Parlament;2010;6;11;1328;600;11;6;583;46.01;175;29.17%;143;23.83%;17;2.83%;110;18.33%;52;8.67%;33;5.50%;;;;;19;3.17%;2;0.33%;7;1.17%;;;;;;;;;25;4.17%
Parlament;2010;6;12;985;490;22;2;466;51.98;136;27.76%;129;26.33%;24;4.90%;69;14.08%;53;10.82%;13;2.65%;;;;;9;1.84%;3;0.61%;9;1.84%;;;;;;;;;21;4.29%
Parlament;2010;6;13;675;389;20;1;368;60.59;146;37.53%;73;18.77%;6;1.54%;54;13.88%;50;12.85%;15;3.86%;;;;;13;3.34%;0;0.00%;2;0.51%;;;;;;;;;9;2.31%
Parlament;2010;6;14;685;331;9;1;321;49.64;115;34.74%;71;21.45%;10;3.02%;58;17.52%;19;5.74%;18;5.44%;;;;;15;4.53%;1;0.30%;3;0.91%;;;;;;;;;11;3.32%
Parlament;2010;6;16;1145;500;19;0;481;45.33;109;21.80%;171;34.20%;15;3.00%;68;13.60%;56;11.20%;15;3.00%;;;;;19;3.80%;5;1.00%;5;1.00%;;;;;;;;;18;3.60%
Parlament;2010;6;18;491;265;5;0;260;54.99;103;38.87%;52;19.62%;9;3.40%;32;12.08%;28;10.57%;10;3.77%;;;;;16;6.04%;1;0.38%;4;1.51%;;;;;;;;;5;1.89%
Parlament;2010;6;19;452;240;9;0;231;55.09;88;36.67%;58;24.17%;4;1.67%;26;10.83%;15;6.25%;12;5.00%;;;;;19;7.92%;1;0.42%;1;0.42%;;;;;;;;;7;2.92%
Parlament;2010;6;20;454;208;4;0;204;46.7;63;30.29%;49;23.56%;6;2.88%;34;16.35%;21;10.10%;13;6.25%;;;;;8;3.85%;0;0.00%;3;1.44%;;;;;;;;;7;3.37%
Parlament;2010;6;21;690;303;5;1;297;44.64;89;29.37%;76;25.08%;10;3.30%;41;13.53%;30;9.90%;8;2.64%;;;;;26;8.58%;0;0.00%;3;0.99%;;;;;;;;;14;4.62%
Parlament;2010;6;23;932;460;17;0;443;51.18;120;26.09%;130;28.26%;14;3.04%;79;17.17%;41;8.91%;23;5.00%;;;;;17;3.70%;0;0.00%;8;1.74%;;;;;;;;;11;2.39%
Parlament;2010;6;24;1804;870;21;1;848;49.39;205;23.56%;247;28.39%;24;2.76%;120;13.79%;86;9.89%;46;5.29%;;;;;72;8.28%;4;0.46%;9;1.03%;;;;;;;;;35;4.02%
Parlament;2010;6;25;1391;710;8;12;690;51.62;211;29.72%;187;26.34%;43;6.06%;93;13.10%;63;8.87%;23;3.24%;;;;;34;4.79%;1;0.14%;11;1.55%;;;;;;;;;24;3.38%
Parlament;2010;6;26;1244;583;14;1;568;47.99;174;29.85%;141;24.19%;21;3.60%;75;12.86%;64;10.98%;27;4.63%;;;;;47;8.06%;1;0.17%;8;1.37%;;;;;;;;;10;1.72%
Parlament;2010;6;27;981;430;5;1;424;44.34;144;33.49%;98;22.79%;13;3.02%;63;14.65%;41;9.53%;21;4.88%;;;;;26;6.05%;0;0.00%;1;0.23%;;;;;;;;;17;3.95%
