Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;VOX;% VOX;PxC;% PxC;Reagrupament;% Reagrupament;SI;% SI;Aliança;% Aliança;PACMA;% PACMA;Unió;% Unió;JxSí;% JxSí;Altres;% Altres
Parlament;2024;6;23;1017;496;4;4;488;48.77%;198;;18;;46;;70;;17;;8;;5;;107;;;;;;;;4;;8;;;;;;7;1.41%
Parlament;2024;6;24;1815;976;12;16;948;53.77%;337;;36;;104;;110;;66;;22;;17;;203;;;;;;;;17;;24;;;;;;12;1.23%
Parlament;2024;6;25;1440;732;16;9;707;50.83%;267;;40;;83;;72;;54;;9;;15;;130;;;;;;;;12;;15;;;;;;10;1.37%
Parlament;2024;6;26;1231;657;9;4;644;53.37%;220;;25;;70;;67;;43;;13;;4;;155;;;;;;;;17;;16;;;;;;14;2.13%
Parlament;2024;6;27;936;419;7;1;411;44.76%;197;;13;;32;;54;;15;;13;;3;;73;;;;;;;;3;;3;;;;;;5;1.19%
Parlament;2024;6;28;1199;694;2;6;686;57.88%;279;;23;;69;;90;;57;;8;;11;;120;;;;;;;;11;;9;;;;;;9;1.30%
Parlament;2024;6;29;833;437;4;5;428;52.46%;145;;16;;31;;54;;27;;5;;5;;113;;;;;;;;11;;15;;;;;;6;1.37%
Parlament;2024;6;30;594;333;6;4;323;56.06%;114;;21;;41;;28;;28;;4;;10;;65;;;;;;;;7;;4;;;;;;1;0.30%
Parlament;2024;6;31;732;327;4;1;322;44.67%;108;;16;;22;;50;;31;;8;;8;;58;;;;;;;;6;;6;;;;;;9;2.75%
Parlament;2024;6;32;852;458;8;4;446;53.76%;132;;25;;41;;68;;31;;5;;8;;102;;;;;;;;15;;10;;;;;;9;1.97%
Parlament;2024;6;33;1079;626;7;8;611;58.02%;210;;48;;81;;71;;33;;17;;17;;92;;;;;;;;17;;14;;;;;;11;1.76%
Parlament;2024;7;1;1052;575;4;5;566;54.66%;143;;97;;85;;68;;43;;7;;16;;78;;;;;;;;15;;9;;;;;;5;0.87%
Parlament;2024;7;2;1513;744;9;4;731;49.17%;351;;12;;47;;64;;55;;11;;13;;151;;;;;;;;10;;9;;;;;;8;1.08%
Parlament;2024;7;3;1110;444;9;0;435;40.00%;172;;9;;22;;56;;17;;6;;4;;119;;;;;;;;6;;19;;;;;;5;1.13%
Parlament;2024;7;4;1870;1030;19;7;1004;55.08%;364;;64;;84;;188;;57;;22;;22;;175;;;;;;;;7;;10;;;;;;11;1.07%
Parlament;2024;7;5;1114;646;5;2;639;57.99%;209;;97;;89;;53;;50;;10;;19;;78;;;;;;;;15;;9;;;;;;10;1.55%
