Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
2;8;708;288;7;8;273;40.68%;6;2.14%;24;8.57%;22;7.86%;38;13.57%;26;9.29%;12;4.29%;3;1.07%;31;11.07%;87;31.07%;6;2.14%;0;0.00%;18;6.43%
2;9;1040;451;8;4;439;43.37%;25;5.59%;45;10.07%;46;10.29%;54;12.08%;48;10.74%;6;1.34%;9;2.01%;44;9.84%;130;29.08%;8;1.79%;0;0.00%;24;5.37%
2;11;828;329;11;4;314;39.73%;23;7.08%;49;15.08%;33;10.15%;37;11.38%;37;11.38%;6;1.85%;10;3.08%;24;7.38%;72;22.15%;6;1.85%;1;0.31%;16;4.92%
2;12;634;236;2;3;231;37.22%;22;9.44%;12;5.15%;12;5.15%;31;13.30%;22;9.44%;11;4.72%;0;0.00%;11;4.72%;76;32.62%;14;6.01%;1;0.43%;19;8.15%
2;14;1408;551;12;10;529;39.13%;30;5.55%;75;13.86%;75;13.86%;79;14.60%;39;7.21%;12;2.22%;7;1.29%;49;9.06%;107;19.78%;10;1.85%;1;0.18%;45;8.32%
2;15;630;164;3;2;159;26.03%;8;4.94%;12;7.41%;13;8.02%;21;12.96%;16;9.88%;3;1.85%;0;0.00%;11;6.79%;62;38.27%;5;3.09%;0;0.00%;8;4.94%
2;16;1276;474;12;5;457;37.15%;29;6.18%;72;15.35%;86;18.34%;66;14.07%;24;5.12%;17;3.62%;9;1.92%;50;10.66%;62;13.22%;14;2.99%;4;0.85%;24;5.12%
2;17;1096;388;4;5;379;35.40%;17;4.44%;43;11.23%;44;11.49%;44;11.49%;31;8.09%;11;2.87%;3;0.78%;36;9.40%;115;30.03%;6;1.57%;1;0.26%;28;7.31%
3;1;1318;598;9;3;586;45.37%;115;19.33%;39;6.55%;156;26.22%;72;12.10%;34;5.71%;6;1.01%;6;1.01%;44;7.39%;77;12.94%;9;1.51%;0;0.00%;28;4.71%
3;2;1050;550;10;0;540;52.38%;86;15.64%;47;8.55%;131;23.82%;59;10.73%;43;7.82%;12;2.18%;15;2.73%;24;4.36%;90;16.36%;6;1.09%;1;0.18%;26;4.73%
3;3;1155;494;11;4;479;42.77%;58;11.84%;35;7.14%;86;17.55%;74;15.10%;46;9.39%;4;0.82%;7;1.43%;39;7.96%;94;19.18%;13;2.65%;1;0.20%;22;4.49%
