Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
6;18;926;358;2;4;352;38.66%;14;3.95%;38;10.73%;28;7.91%;41;11.58%;42;11.86%;2;0.56%;3;0.85%;19;5.37%;132;37.29%;8;2.26%;0;0.00%;25;7.06%
6;20;1120;421;9;7;405;37.59%;15;3.62%;47;11.35%;44;10.63%;53;12.80%;54;13.04%;12;2.90%;10;2.42%;21;5.07%;123;29.71%;6;1.45%;1;0.24%;19;4.59%
6;23;995;362;7;0;355;36.38%;20;5.52%;43;11.88%;30;8.29%;36;9.94%;49;13.54%;9;2.49%;5;1.38%;27;7.46%;112;30.94%;10;2.76%;0;0.00%;14;3.87%
6;24;1750;702;16;8;678;40.11%;28;4.03%;81;11.67%;58;8.36%;96;13.83%;71;10.23%;27;3.89%;6;0.86%;74;10.66%;180;25.94%;11;1.59%;0;0.00%;46;6.63%
6;25;1398;625;12;7;606;44.71%;35;5.66%;65;10.52%;83;13.43%;64;10.36%;58;9.39%;11;1.78%;13;2.10%;53;8.58%;190;30.74%;7;1.13%;1;0.16%;26;4.21%
6;26;1225;459;11;3;445;37.47%;38;8.33%;46;10.09%;40;8.77%;52;11.40%;30;6.58%;15;3.29%;16;3.51%;36;7.89%;127;27.85%;8;1.75%;3;0.66%;34;7.46%
6;27;973;356;7;1;348;36.59%;15;4.23%;33;9.30%;26;7.32%;39;10.99%;35;9.86%;10;2.82%;10;2.82%;22;6.20%;138;38.87%;2;0.56%;0;0.00%;18;5.07%
6;28;1181;504;9;4;491;42.68%;18;3.60%;55;11.00%;59;11.80%;74;14.80%;60;12.00%;9;1.80%;8;1.60%;47;9.40%;129;25.80%;11;2.20%;3;0.60%;18;3.60%
6;29;759;298;8;1;289;39.26%;13;4.38%;46;15.49%;30;10.10%;47;15.82%;33;11.11%;7;2.36%;8;2.69%;23;7.74%;63;21.21%;6;2.02%;0;0.00%;13;4.38%
6;30;543;197;5;2;190;36.28%;8;4.10%;21;10.77%;22;11.28%;40;20.51%;18;9.23%;2;1.03%;1;0.51%;17;8.72%;41;21.03%;8;4.10%;1;0.51%;11;5.64%
6;31;744;279;3;3;273;37.50%;14;5.07%;27;9.78%;31;11.23%;42;15.22%;18;6.52%;6;2.17%;5;1.81%;21;7.61%;84;30.43%;6;2.17%;0;0.00%;19;6.88%
6;32;556;199;7;1;191;35.79%;15;7.58%;29;14.65%;19;9.60%;21;10.61%;17;8.59%;11;5.56%;3;1.52%;23;11.62%;29;14.65%;9;4.55%;0;0.00%;15;7.58%
6;33;998;418;8;6;404;41.88%;36;8.74%;64;15.53%;97;23.54%;44;10.68%;21;5.10%;11;2.67%;6;1.46%;22;5.34%;60;14.56%;10;2.43%;1;0.24%;32;7.77%
