Elecció;Any;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_NULS;Districte;NUM_ELECTORS;% PP;Secció;CUP;Altres;% Altres
Parlament;2015;66.08;48;128;1.03;17.32;4.54;26.39;1;5;84;16.08;0.21;22.47;483;2;78;109;480;1;4;734;9.9;10;22;5;1.04%
Parlament;2015;81.17;98;169;3.28;31.76;7.9;14.2;6;39;378;10.25;0.5;22.52;1187;3;122;268;1179;5;5;1466;8.24;11;94;5;0.42%
Parlament;2015;77.23;41;69;2.59;28.77;8.49;16.27;7;11;122;10.14;1.65;21.7;424;0;43;92;424;0;5;549;9.67;22;36;3;0.71%
Parlament;2015;71.32;54;106;0.9;22.74;7.53;15.96;3;6;151;14.46;0.45;28.31;661;3;96;188;658;0;3;931;8.13;4;50;4;0.61%
Parlament;2015;85.1;60;75;2.76;58.6;12.44;5.76;3;36;763;4.99;0.23;9.83;1299;3;65;128;1295;1;1;1530;4.61;4;162;3;0.23%
Parlament;2015;78.56;56;126;1.77;20.79;6.4;12.41;22;18;211;16.16;2.17;31.92;1006;9;164;324;996;1;2;1292;5.52;16;65;10;1.00%
Parlament;2015;75.11;100;307;0.52;8.81;2.53;26.77;11;6;101;15.34;0.96;33.74;1142;5;176;387;1126;11;3;1527;8.72;10;29;9;0.80%
Parlament;2015;80.31;44;98;1.68;39.75;10.75;10.97;5;15;355;11.98;0.56;17.58;887;6;107;157;881;0;1;1112;4.93;12;96;4;0.45%
Parlament;2015;69.97;56;130;1.55;7.3;3.1;28.76;4;7;33;14.16;0.88;28.54;448;4;64;129;443;1;3;646;12.39;16;14;6;1.35%
Parlament;2015;81.97;55;126;2.67;51.3;7.38;9.9;11;34;653;7.23;0.86;15.16;1268;5;92;193;1260;3;5;1553;4.32;6;94;2;0.16%
Parlament;2015;84.97;61;76;2.83;47.41;6.72;8.96;2;24;402;8.37;0.24;17.22;847;1;71;146;842;4;5;998;7.19;26;57;3;0.36%
Parlament;2015;81.78;47;123;2.4;25.67;5.64;17.35;4;17;182;13.54;0.56;25.53;703;6;96;181;694;3;5;867;6.63;25;40;4;0.58%
Parlament;2015;81.64;61;33;3.36;63.53;9.73;3.69;2;30;568;4.03;0.22;7.16;890;4;36;64;885;1;1;1095;6.82;2;87;4;0.45%
Parlament;2015;75.33;125;193;1.85;27.46;6.38;16.2;15;22;327;10.58;1.26;24.18;1188;3;126;288;1179;6;1;1581;10.5;14;76;7;0.59%
Parlament;2015;81.2;67;128;2.87;33.52;9.37;14.11;10;26;304;9.04;1.1;21.28;906;1;82;193;901;4;1;1117;7.39;19;85;6;0.67%
Parlament;2015;75.13;120;255;1.95;21.95;5.16;17.77;17;28;315;14.36;1.18;27.32;1429;6;206;392;1416;7;5;1910;8.36;16;74;9;0.64%
Parlament;2015;59.35;52;118;0.86;4.3;1.15;33.81;4;3;15;14.61;1.15;27.79;348;1;51;97;347;0;2;588;14.9;15;4;3;0.86%
Parlament;2015;81.11;92;173;1.93;43.98;8.25;11.51;16;29;661;8.32;1.06;17.43;1498;5;125;262;1488;5;4;1853;6.12;18;124;6;0.40%
Parlament;2015;73.7;119;213;1.67;16.77;6.3;19.74;11;18;181;13.25;1.02;28.17;1073;6;143;304;1064;3;6;1464;11.03;3;68;7;0.66%
Parlament;2015;77.84;50;140;1.64;20.57;7.75;20.86;3;11;138;12.22;0.45;26.83;665;6;82;180;659;0;6;862;7.45;9;52;3;0.46%
Parlament;2015;66.9;69;138;3.03;19.87;6.97;18.16;10;23;151;14.87;1.32;24.87;756;4;113;189;749;3;6;1136;9.08;16;53;3;0.40%
Parlament;2015;70.73;47;115;1.01;11.97;4.06;23.33;12;5;59;14;2.43;29.82;491;2;69;147;478;11;2;697;9.53;8;20;4;0.84%
Parlament;2015;74.33;99;173;1.2;14.08;5.42;20.82;13;10;117;15.4;1.56;27.8;831;0;128;231;823;8;5;1118;11.91;2;45;7;0.85%
Parlament;2015;77.99;28;67;2.97;45.54;9.9;11.06;6;18;276;9.74;0.99;14.19;604;2;59;86;602;0;5;777;4.62;5;60;2;0.33%
Parlament;2015;79.19;68;101;2.04;34.44;10.84;12.88;7;16;270;11.73;0.89;17.35;782;2;92;136;778;2;4;990;8.67;12;85;3;0.39%
Parlament;2015;86.49;53;85;1.94;52.68;7.64;9.69;2;17;462;6.04;0.23;14.48;873;4;53;127;867;2;1;1014;6.04;20;67;1;0.12%
Parlament;2015;74.77;64;102;1.81;32.98;5.72;15.36;6;12;219;13.7;0.9;19.13;662;2;91;127;660;0;4;888;9.64;25;38;1;0.15%
Parlament;2015;72.07;56;154;0.83;20.81;6.42;18.31;9;7;175;15.93;1.07;28.54;839;2;134;240;836;1;5;1167;6.66;13;54;7;0.84%
Parlament;2015;77.25;18;70;1.9;15.68;6.65;16.63;2;8;66;18.05;0.48;33.97;418;3;76;143;414;1;6;545;4.28;30;28;3;0.72%
Parlament;2015;78.38;84;102;1.8;46.05;6.7;8.76;17;21;536;9.11;1.46;17.53;1160;4;106;204;1152;4;5;1485;7.22;3;78;4;0.35%
Parlament;2015;81.3;43;59;3.42;58.96;9.43;6.96;5;29;500;3.66;0.59;10.5;843;5;31;89;836;2;4;1043;5.07;26;80;0;0.00%
Parlament;2015;71.45;60;147;0.78;16.29;6.92;16.41;21;7;146;16.41;2.34;31.14;889;7;147;279;879;3;2;1254;6.7;17;62;10;1.14%
Parlament;2015;66.31;91;159;2.04;22.15;6.39;21.6;5;15;163;9.51;0.68;23.78;736;0;70;175;731;5;3;1110;12.36;14;47;6;0.82%
Parlament;2015;78.87;77;196;1.86;21.79;4.28;15.82;19;23;270;13.32;1.53;33.09;1233;6;165;410;1223;4;4;1571;6.21;22;53;10;0.82%
Parlament;2015;82.8;36;107;2.27;49.2;10.1;10.1;3;24;521;8.4;0.28;13.6;1048;11;89;144;1034;3;5;1279;3.4;23;107;3;0.29%
Parlament;2015;77.85;67;150;1.22;24.93;5.83;20.33;12;9;184;11.79;1.63;23.58;738;0;87;174;730;8;3;948;9.08;15;43;4;0.55%
Parlament;2015;82.64;46;128;1.9;31.27;6.56;12.17;4;20;329;15.21;0.38;26.33;1044;8;160;277;1035;1;5;1273;4.37;17;69;2;0.19%
Parlament;2015;75.52;67;189;1.1;15.38;5.93;20.77;12;10;140;14.95;1.32;31.54;908;2;136;287;903;3;6;1205;7.36;26;54;8;0.89%
Parlament;2015;84.04;53;33;5.16;58.11;10.69;4.15;4;41;462;4.65;0.5;8.68;791;4;37;69;785;2;4;946;6.67;16;85;1;0.13%
Parlament;2015;89.12;25;12;3.89;64.42;10.8;2.12;2;22;364;5.31;0.35;7.96;564;1;30;45;563;0;1;634;4.42;24;61;2;0.36%
Parlament;2015;74.44;52;122;0.94;10.57;6.04;23.02;5;5;56;16.42;0.94;30;529;1;87;159;527;1;6;712;9.81;13;32;9;1.71%
Parlament;2015;87.9;45;51;4.27;60.5;7.83;6.05;2;36;510;3.32;0.24;11.39;839;4;28;96;834;1;4;959;5.34;14;66;0;0.00%
Parlament;2015;66.47;50;118;1.73;10.39;3.25;25.54;6;8;48;11.9;1.3;34.42;461;1;55;159;460;0;2;695;10.82;4;15;1;0.22%
Parlament;2015;71.48;63;118;0.91;16.94;6.38;21.49;7;5;93;14.39;1.28;25.68;546;3;79;141;543;0;4;768;11.48;21;35;2;0.37%
