Districte;Secció;Renta bruta media por hogar;Renta bruta media por persona;Renta neta media por hogar;Renta neta media por persona ;Bruta - Neta Hogar;Bruta - Neta Persona;Presión fiscal Hogar;Presión fiscal Persona;CDIS;CSEC;Pressió H;Pressió P
6;24;39.281;13.964;33.552;11.928;5.729;2.036;14.58%;14.58%;6;24;0.1458;0.1458
6;25;36.924;12.847;31.743;11.045;5.181;1.802;14.03%;14.03%;6;25;0.1403;0.1403
6;26;36.572;13.638;31.148;11.616;5.424;2.022;14.83%;14.83%;6;26;0.1483;0.1483
6;27;32.141;12.680;27.890;11.003;4.251;1.677;13.23%;13.23%;6;27;0.1323;0.1323
6;28;42.021;16.239;35.255;13.625;6.766;2.614;16.10%;16.10%;6;28;0.1610;0.161
6;29;41.426;14.913;34.826;12.537;6.600;2.376;15.93%;15.93%;6;29;0.1593;0.1593
6;30;42.521;15.892;35.258;13.177;7.263;2.715;17.08%;17.08%;6;30;0.1708;0.1708
6;31;34.558;12.910;30.057;11.228;4.501;1.682;13.02%;13.03%;6;31;0.1302;0.1303
6;32;46.319;16.127;38.429;13.380;7.890;2.747;17.03%;17.03%;6;32;0.1703;0.1703
6;33;60.394;18.956;48.950;15.364;11.444;3.592;18.95%;18.95%;6;33;0.1895;0.1895
7;1;57.829;20.534;45.877;16.290;11.952;4.244;20.67%;20.67%;7;1;0.2067;0.2067
7;2;35.744;13.573;30.929;11.745;4.815;1.828;13.47%;13.47%;7;2;0.1347;0.1347
7;3;30.776;10.773;26.951;9.434;3.825;1.339;12.43%;12.43%;7;3;0.1243;0.1243
7;4;53.655;18.548;44.336;15.327;9.319;3.221;17.37%;17.37%;7;4;0.1737;0.1737
;;;;;;;;;;;;;
