Elecció;Any;% PxC;Participació;PP;PSC;% ICV;% CUP;% PSC;PACMA;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CiU;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;% CiU;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;PxC;% PP;ICV;Secció;CUP;Altres;% Altres
Parlament;2012;3.79;63.44;152;372;11.28;1.44;38.15;2;0.21;15.38;965;10;46;150;945;955;4.72;10;39;3;1537;4;37;15.59;110;10;14;23;2.43%
Parlament;2012;1.56;78.34;98;154;9.22;2.72;12.67;4;0.33;6.58;1198;17;453;80;1175;1192;37.28;6;184;5;1551;15.14;19;8.07;112;6;33;38;3.23%
Parlament;2012;7.38;57.2;27;155;9.06;0.34;52.01;2;0.67;3.69;295;3;19;11;290;293;6.38;2;15;4;521;5.03;22;9.06;27;20;1;11;3.79%
Parlament;2012;3.03;73.36;59;179;9.08;2.07;28.5;1;0.16;12.9;614;14;122;81;596;610;19.43;4;44;5;856;7.01;19;9.39;57;25;13;21;3.52%
Parlament;2012;0.26;81.51;81;96;7.92;3.78;8.44;0;0;3.96;1130;7;503;45;1117;1124;44.24;6;212;1;1395;18.65;3;7.12;90;4;43;44;3.94%
Parlament;2012;0;83.7;81;57;5.49;2.61;7.45;4;0.52;2.88;759;6;363;22;750;756;47.45;3;132;4;914;17.25;0;10.59;42;14;20;29;3.87%
Parlament;2012;11.44;47.66;45;115;5.88;0.65;37.58;0;0;8.17;302;4;31;25;297;301;10.13;1;14;2;642;4.58;35;14.71;18;15;2;12;4.04%
Parlament;2012;2.03;71.94;138;349;11.39;1.85;30.8;6;0.53;10.86;1113;20;143;123;1087;1107;12.62;6;106;5;1575;9.36;23;12.18;129;14;21;49;4.51%
Parlament;2012;2.34;70.48;72;137;11.88;1.72;21.41;4;0.62;10.62;620;20;125;68;589;609;19.53;11;54;4;908;8.44;15;11.25;76;19;11;27;4.58%
Parlament;2012;4.5;70.26;59;161;10.84;2.04;32.92;3;0.61;9;479;10;68;44;465;475;13.91;4;34;2;696;6.95;22;12.07;53;6;10;11;2.37%
Parlament;2012;0.2;83.54;121;87;7.13;3.06;5.91;8;0.54;3.87;1458;14;771;57;1434;1448;52.38;10;194;1;1762;13.18;3;8.22;105;8;45;43;3.00%
Parlament;2012;4.82;67.05;92;216;11.86;1.56;28.16;5;0.65;9.39;756;11;142;72;737;748;18.51;8;54;3;1144;7.04;37;11.99;91;3;12;16;2.17%
Parlament;2012;4.42;63.71;79;344;9.75;1.17;44.73;5;0.65;11.44;762;7;56;88;748;755;7.28;7;25;3;1207;3.25;34;10.27;75;8;9;33;4.41%
Parlament;2012;5.63;69.98;149;372;12.07;1.55;30.34;11;0.9;13.21;1204;22;123;162;1174;1196;10.03;8;65;6;1752;5.3;69;12.15;148;24;19;56;4.77%
Parlament;2012;2.19;73.79;60;126;12;3.34;14.53;1;0.12;7.73;856;11;245;67;831;842;28.26;14;139;5;1175;16.03;19;6.92;104;20;29;41;4.93%
Parlament;2012;3.77;64.56;85;249;10.47;1.26;34.78;8;1.12;13.97;712;4;78;100;695;699;10.89;13;44;5;1109;6.15;27;11.87;75;2;9;20;2.88%
Parlament;2012;0.47;80.51;76;62;7.95;3.04;7.25;3;0.35;3.27;835;20;418;28;812;832;48.89;3;116;4;1062;13.57;4;8.89;68;1;26;11;1.35%
Parlament;2012;0.15;74.94;58;150;10.75;2.95;22.09;3;0.44;11.19;670;9;159;76;657;666;23.42;4;85;1;906;12.52;1;8.54;73;11;20;32;4.87%
Parlament;2012;1.5;76.84;69;161;9.47;3.81;18.59;2;0.23;6.93;859;7;261;60;843;850;30.14;9;134;5;1127;15.47;13;7.97;82;4;33;28;3.32%
Parlament;2012;4.37;64.78;59;64;9.22;0;31.07;2;0.97;8.74;206;0;20;18;206;206;9.71;0;11;2;318;5.34;9;28.64;19;7;0;4;1.94%
Parlament;2012;1.06;75.84;128;264;11.27;2.4;23.43;5;0.44;9.94;1117;10;252;112;1093;1103;22.36;14;122;5;1486;10.83;12;11.36;127;11;27;44;4.03%
Parlament;2012;0.54;76.29;65;108;10.18;2.47;11.58;3;0.32;6.22;919;14;353;58;901;915;37.83;4;168;5;1223;18.01;5;6.97;95;23;23;23;2.55%
Parlament;2012;1.48;70.79;95;148;8.19;2.57;14.61;6;0.59;6.61;1003;10;380;67;989;999;37.51;4;145;5;1431;14.31;15;9.38;83;3;26;24;2.43%
Parlament;2012;3.17;63.8;77;212;9.78;1.79;29.2;4;0.55;11.16;719;7;141;81;706;713;19.42;6;59;6;1138;8.13;23;10.61;71;2;13;25;3.54%
Parlament;2012;3.13;73.56;108;274;10.48;3.53;26.84;5;0.49;10.58;1003;18;172;108;974;992;16.85;11;85;4;1388;8.33;32;10.58;107;6;36;47;4.83%
Parlament;2012;3.45;69.52;39;121;12.81;2.46;29.8;2;0.49;9.11;404;2;75;37;401;403;18.47;1;35;5;584;8.62;14;9.61;52;12;10;16;3.99%
Parlament;2012;5.18;62.55;61;265;11.17;0.81;42.88;8;1.29;10.36;610;8;40;64;596;604;6.47;6;31;6;988;5.02;32;9.87;69;27;5;21;3.52%
Parlament;2012;7.41;60.63;62;147;12.2;0.65;32.03;1;0.22;11.11;449;10;43;51;437;447;9.37;2;24;4;757;5.23;34;13.51;56;9;3;16;3.66%
Parlament;2012;3.04;68.34;108;254;10.37;1.11;35.13;0;0;8.71;710;13;93;63;695;708;12.86;2;50;2;1058;6.92;22;14.94;75;1;8;22;3.17%
Parlament;2012;3.1;52.11;73;220;10.67;0.69;37.87;5;0.86;14.63;568;13;44;85;554;567;7.57;1;26;3;1115;4.48;18;12.56;62;11;4;17;3.07%
Parlament;2012;1.82;75.14;82;155;9.25;2.31;18.86;4;0.49;4.14;815;7;264;34;797;804;32.12;11;101;4;1094;12.29;15;9.98;76;4;19;47;5.90%
Parlament;2012;1.95;73.2;110;275;12.52;2.32;19.9;6;0.43;11;1360;22;324;152;1321;1343;23.44;17;160;3;1888;11.58;27;7.96;173;9;32;62;4.69%
Parlament;2012;2.81;65.31;121;244;10.1;1.04;25.42;6;0.62;16.77;945;15;145;161;921;936;15.1;9;74;4;1470;7.71;27;12.6;97;24;10;36;3.91%
Parlament;2012;5.95;67.08;75;172;7.99;1.49;31.97;1;0.19;9.29;519;19;76;50;497;516;14.13;3;26;2;802;4.83;32;13.94;43;5;8;14;2.82%
Parlament;2012;3.82;63.61;103;316;12.63;2.65;33.55;5;0.53;8.7;931;11;122;82;909;920;12.95;11;71;5;1481;7.54;36;10.93;119;15;25;30;3.30%
Parlament;2012;0.85;79.32;104;93;8.34;2.75;8.82;7;0.66;6.07;1036;19;408;64;1014;1033;38.67;3;174;1;1330;16.49;9;9.86;88;22;29;38;3.75%
Parlament;2012;2.66;69.72;117;270;12.83;1.81;25.67;6;0.57;14.07;1030;22;144;148;994;1016;13.69;14;96;4;1509;9.13;28;11.12;135;23;19;31;3.12%
Parlament;2012;0.97;71.18;69;197;9.9;3.4;19.13;10;0.97;4.08;1010;20;314;42;982;1002;30.49;8;164;3;1447;15.92;10;6.7;102;5;35;39;3.97%
Parlament;2012;0.23;85.29;64;35;4.85;1.69;3.95;1;0.11;3.16;881;6;529;28;868;874;59.64;7;122;1;1040;13.75;2;7.22;43;1;15;29;3.34%
Parlament;2012;3.48;68.67;146;370;9.75;1.36;31.38;10;0.85;9.58;1154;25;177;113;1124;1149;15.01;5;101;5;1717;8.57;41;12.38;115;16;16;35;3.11%
Parlament;2012;6.53;59.15;39;104;13.06;0;35.74;0;0;10.31;286;5;22;30;278;283;7.56;3;18;6;492;6.19;19;13.4;38;18;0;8;2.88%
Parlament;2012;3.64;63.66;52;197;9.11;1.01;39.88;2;0.4;8.7;489;5;56;43;480;485;11.34;4;40;4;776;8.1;18;10.53;45;21;5;22;4.58%
Parlament;2012;1.47;67.5;239;334;8.9;0.61;28.87;8;0.69;15.9;1143;14;127;184;1118;1132;10.98;11;64;3;1714;5.53;17;20.66;103;12;7;35;3.13%
Parlament;2012;2.14;70.37;63;153;10.41;0.92;23.43;0;0;10.41;647;6;168;68;639;645;25.73;2;71;4;928;10.87;14;9.65;68;25;6;28;4.38%
Parlament;2012;5.79;62.96;71;215;10.64;1.25;33.65;4;0.63;9.86;634;5;94;63;611;616;14.71;18;43;5;1015;6.73;37;11.11;68;13;8;8;1.31%
Parlament;2012;1.16;81.56;24;36;5.51;4.35;10.43;0;0;4.64;340;5;150;16;334;339;43.48;1;57;1;423;16.52;4;6.96;19;18;15;13;3.89%
Parlament;2012;8.58;70.62;67;176;10.4;1.28;32.12;5;0.91;14.05;535;13;44;77;514;527;8.03;8;22;3;776;4.01;47;12.23;57;18;7;12;2.33%
Parlament;2012;2.48;66.72;93;190;12.53;2.73;23.57;9;1.12;7.2;795;11;180;58;780;791;22.33;4;78;3;1208;9.68;20;11.54;101;20;22;29;3.72%
Parlament;2012;1.35;78.95;118;215;7.2;2.92;15.32;3;0.21;6.2;1380;23;521;87;1351;1374;37.13;6;216;1;1777;15.4;19;8.41;101;16;41;30;2.22%
Parlament;2012;8.25;57.69;44;123;8.57;1.59;39.05;3;0.95;6.03;310;5;37;19;302;307;11.75;3;12;2;546;3.81;26;13.97;27;2;5;6;1.99%
Parlament;2012;6.18;59;42;90;10.04;3.09;34.75;0;0;13.9;258;1;18;36;254;255;6.95;3;7;6;439;2.7;16;16.22;26;20;8;11;4.33%
Parlament;2012;1.8;71.46;53;200;11.13;1.47;32.73;3;0.49;11.13;595;16;94;68;575;591;15.38;4;45;6;855;7.36;11;8.67;68;9;9;24;4.17%
Parlament;2012;2.25;66.95;53;146;11.12;2.75;18.25;5;0.62;7.88;796;4;249;63;787;791;31.13;5;104;4;1195;13;18;6.62;89;5;22;38;4.83%
Parlament;2012;8.87;55.61;46;122;13.44;0.54;32.8;5;1.34;8.33;365;7;36;31;356;363;9.68;2;23;6;669;6.18;33;12.37;50;21;2;8;2.25%
Parlament;2012;3.85;67.81;130;301;10.63;1.32;30.47;11;1.11;11.84;970;18;134;117;945;963;13.56;7;64;6;1457;6.48;38;13.16;105;3;13;32;3.39%
Parlament;2012;5.63;61.82;73;141;11.47;0.2;28.37;1;0.2;17.51;489;8;44;87;476;484;8.85;5;21;2;804;4.23;28;14.69;57;11;1;23;4.83%
Parlament;2012;0.87;87.42;82;93;10.3;2.11;11.54;1;0.12;7.57;794;12;276;61;780;792;34.24;2;136;1;922;16.87;7;10.17;83;23;17;24;3.08%
Parlament;2012;1.41;73.67;61;162;15.96;2.26;22.88;1;0.14;7.34;691;17;144;52;668;685;20.34;6;89;4;961;12.57;10;8.62;113;12;16;20;2.99%
