Elecció;Any;CDIS;CSEC;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Comuns Sumar;% Comuns Sumar;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;Podemos;% Podemos;PP;% PP;PSC;% PSC;SALF;% SALF;VOX;% VOX;Altres;% Altres
Europees;2024;05;014;0827905014;5;14;1433;628;5;1;622;43.82%;25;3.99%;2;0.32%;65;10.37%;39;6.22%;3;0.48%;32;5.10%;92;14.67%;275;43.86%;24;3.83%;47;7.50%;18;2.89%
Europees;2024;05;015;0827905015;5;15;707;255;3;1;251;36.07%;11;4.33%;0;0.00%;39;15.35%;11;4.33%;4;1.57%;11;4.33%;24;9.45%;94;37.01%;16;6.30%;27;10.63%;14;5.58%
Europees;2024;05;016;0827905016;5;16;1984;761;10;1;750;38.36%;32;4.21%;3;0.39%;106;13.95%;42;5.53%;9;1.18%;43;5.66%;96;12.63%;279;36.71%;40;5.26%;77;10.13%;23;3.07%
Europees;2024;05;017;0827905017;5;17;1516;669;7;0;662;44.13%;38;5.68%;0;0.00%;89;13.30%;86;12.86%;7;1.05%;36;5.38%;72;10.76%;243;36.32%;32;4.78%;44;6.58%;15;2.27%
Europees;2024;05;018;0827905018;5;18;971;436;0;1;435;44.90%;14;3.22%;2;0.46%;32;7.36%;16;3.68%;6;1.38%;26;5.98%;85;19.54%;194;44.60%;20;4.60%;29;6.67%;11;2.53%
Europees;2024;05;019;0827905019;5;19;1019;399;5;3;391;39.16%;17;4.29%;4;1.01%;65;16.41%;44;11.11%;11;2.78%;22;5.56%;47;11.87%;116;29.29%;24;6.06%;32;8.08%;9;2.30%
Europees;2024;05;020;0827905020;5;20;1003;450;3;4;443;44.87%;20;4.48%;2;0.45%;82;18.39%;64;14.35%;12;2.69%;25;5.61%;56;12.56%;128;28.70%;19;4.26%;23;5.16%;12;2.71%
Europees;2024;05;021;0827905021;5;21;610;288;0;1;287;47.21%;15;5.23%;2;0.70%;50;17.42%;46;16.03%;6;2.09%;8;2.79%;32;11.15%;103;35.89%;7;2.44%;11;3.83%;7;2.44%
Europees;2024;05;022;0827905022;5;22;583;248;0;0;248;42.54%;10;4.03%;0;0.00%;35;14.11%;27;10.89%;1;0.40%;16;6.45%;48;19.35%;70;28.23%;15;6.05%;18;7.26%;8;3.23%
Europees;2024;05;023;0827905023;5;23;1539;742;5;3;734;48.21%;48;6.50%;7;0.95%;154;20.84%;157;21.24%;13;1.76%;34;4.60%;82;11.10%;192;25.98%;8;1.08%;21;2.84%;18;2.45%
Europees;2024;05;024;0827905024;5;24;1177;559;6;1;552;47.49%;35;6.27%;5;0.90%;90;16.13%;62;11.11%;3;0.54%;31;5.56%;66;11.83%;193;34.59%;14;2.51%;44;7.89%;9;1.63%
Europees;2024;05;025;0827905025;5;25;970;381;1;1;379;39.28%;13;3.42%;4;1.05%;50;13.16%;34;8.95%;2;0.53%;21;5.53%;46;12.11%;151;39.74%;29;7.63%;25;6.58%;4;1.06%
Europees;2024;05;026;0827905026;5;26;955;488;1;1;486;51.10%;20;4.11%;4;0.82%;84;17.25%;96;19.71%;3;0.62%;15;3.08%;54;11.09%;141;28.95%;15;3.08%;32;6.57%;22;4.53%
Europees;2024;05;027;0827905027;5;27;951;470;5;4;461;49.42%;25;5.36%;2;0.43%;63;13.52%;95;20.39%;11;2.36%;40;8.58%;76;16.31%;124;26.61%;6;1.29%;14;3.00%;5;1.08%
Europees;2024;05;028;0827905028;5;28;954;483;5;1;477;50.63%;18;3.73%;3;0.62%;41;8.51%;44;9.13%;8;1.66%;23;4.77%;87;18.05%;178;36.93%;28;5.81%;39;8.09%;8;1.68%
Europees;2024;05;029;0827905029;5;29;990;419;2;1;416;42.32%;16;3.83%;1;0.24%;53;12.68%;45;10.77%;5;1.20%;20;4.78%;46;11.00%;146;34.93%;25;5.98%;43;10.29%;16;3.85%
Europees;2024;05;030;0827905030;5;30;835;362;1;1;360;43.35%;14;3.88%;3;0.83%;28;7.76%;12;3.32%;5;1.39%;8;2.22%;60;16.62%;165;45.71%;12;3.32%;46;12.74%;7;1.94%
Europees;2024;05;031;0827905031;5;31;595;281;2;1;278;47.23%;22;7.86%;8;2.86%;13;4.64%;9;3.21%;5;1.79%;10;3.57%;48;17.14%;118;42.14%;11;3.93%;29;10.36%;5;1.80%
Europees;2024;05;032;0827905032;5;32;946;409;2;2;405;43.23%;26;6.39%;5;1.23%;36;8.85%;48;11.79%;4;0.98%;20;4.91%;54;13.27%;163;40.05%;7;1.72%;33;8.11%;9;2.22%
Europees;2024;06;001;0827906001;6;1;880;360;4;0;356;40.91%;9;2.50%;3;0.83%;25;6.94%;15;4.17%;2;0.56%;11;3.06%;55;15.28%;169;46.94%;17;4.72%;42;11.67%;8;2.25%
