Elecció;Any;Districte;Secció;Participació;PP;PSC;% UNIO.CAT;% JxSí;% CUP;% PSC;PACMA;UNIO.CAT;JxSí;% CSQP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CSQP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;NUM_ELECTORS;% PP;CUP;Altres;% Altres
Parlament;2015;1;24;89.12;25;12;3.89;64.42;10.8;2.12;2;22;364;5.31;0.35;7.96;564;1;30;45;563;564;0;634;4.42;61;2;0.36%
Parlament;2015;2;1;72.45;101;184;2.2;18.76;3.88;23.8;7;17;145;12.94;0.91;22.51;768;5;100;174;760;765;3;1067;13.07;30;2;0.26%
Parlament;2015;2;2;57.83;41;59;1.39;14.93;4.51;20.49;6;4;43;15.28;2.08;24.31;287;1;44;70;282;283;4;498;14.24;13;2;0.71%
Parlament;2015;2;3;68.81;62;154;1.62;13.85;2.88;27.7;6;9;77;10.79;1.08;28.78;553;3;60;160;549;552;1;808;11.15;16;5;0.91%
Parlament;2015;2;4;66.47;50;118;1.73;10.39;3.25;25.54;6;8;48;11.9;1.3;34.42;461;1;55;159;460;461;0;695;10.82;15;1;0.22%
Parlament;2015;2;5;69.78;51;155;0.87;15.83;2.26;26.96;4;5;91;11.48;0.7;29.74;572;3;66;171;562;565;7;824;8.87;13;6;1.07%
Parlament;2015;2;6;72.8;63;98;1.32;19.06;4.91;18.49;6;7;101;13.02;1.13;27.55;526;4;69;146;519;523;3;728;11.89;26;3;0.58%
Parlament;2015;2;8;70.73;47;115;1.01;11.97;4.06;23.33;12;5;59;14;2.43;29.82;491;2;69;147;478;480;11;697;9.53;20;4;0.84%
Parlament;2015;2;9;71.76;77;178;2.34;16.36;4.55;23.12;8;18;126;15.32;1.04;24.16;764;6;118;186;755;761;3;1073;10;35;9;1.19%
Parlament;2015;2;11;70.7;59;84;1.23;13.05;4.41;14.81;5;7;74;18.34;0.88;35.1;565;2;104;199;561;563;2;802;10.41;25;4;0.71%
Parlament;2015;2;12;63.27;42;100;0.93;17.48;3.26;23.31;8;4;75;17.25;1.86;24.01;428;1;74;103;424;425;3;678;9.79;14;4;0.94%
Parlament;2015;2;14;76.53;71;147;1.67;19.7;7.71;13.66;15;18;212;15.43;1.39;31.69;1071;5;166;341;1060;1065;6;1406;6.6;83;7;0.66%
Parlament;2015;2;15;59.35;52;118;0.86;4.3;1.15;33.81;4;3;15;14.61;1.15;27.79;348;1;51;97;347;348;0;588;14.9;4;3;0.86%
Parlament;2015;2;16;78.56;56;126;1.77;20.79;6.4;12.41;22;18;211;16.16;2.17;31.92;1006;9;164;324;996;1005;1;1292;5.52;65;10;1.00%
Parlament;2015;2;17;71.45;60;147;0.78;16.29;6.92;16.41;21;7;146;16.41;2.34;31.14;889;7;147;279;879;886;3;1254;6.7;62;10;1.14%
Parlament;2015;3;1;78.31;59;144;2.72;38.19;7.39;13.99;7;28;393;11.08;0.68;19.14;1026;3;114;197;1020;1023;3;1314;5.73;76;2;0.20%
Parlament;2015;3;2;80.15;61;117;1.74;33.37;6.86;13.6;9;15;287;12.33;1.05;22.21;855;5;106;191;849;854;1;1073;7.09;59;4;0.47%
Parlament;2015;3;3;74.4;80;152;1.03;25.6;5.6;17.37;7;9;224;13.37;0.8;26.06;873;2;117;228;868;870;3;1176;9.14;49;2;0.23%
Parlament;2015;3;4;71.32;54;106;0.9;22.74;7.53;15.96;3;6;151;14.46;0.45;28.31;661;3;96;188;658;661;0;931;8.13;50;4;0.61%
Parlament;2015;3;5;78.97;59;149;2.23;42.6;11.25;12.32;18;27;515;8.35;1.49;15.05;1202;7;101;182;1193;1200;2;1531;4.88;136;6;0.50%
Parlament;2015;3;6;82.41;49;100;3.11;48.99;9.08;8.4;12;37;583;8.4;1.01;15.63;1185;5;100;186;1180;1185;0;1444;4.12;108;5;0.42%
Parlament;2015;3;7;82.07;69;127;1.86;44.06;8.54;9.44;8;25;593;9.73;0.59;17.83;1330;16;131;240;1314;1330;0;1640;5.13;115;6;0.46%
Parlament;2015;3;8;71.88;100;343;1.51;11.91;4.09;30.49;13;17;134;16.36;1.16;23.2;1120;5;184;261;1108;1113;7;1565;8.89;46;10;0.90%
Parlament;2015;3;9;79.89;83;209;2.58;30.66;8.52;13.49;24;40;475;13.04;1.55;22.85;1539;10;202;354;1524;1534;5;1939;5.36;132;5;0.33%
