Elecció;Any;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;ICV;% ICV;;% Podemos;PP;% PP;;;;;PACMA;% PACMA;Cs;% Cs;Altres;% Altres
Europees;2009;;2;11;820;280;6;1;273;34.15%;170;60.93%;19;6.81%;2;0.72%;18;6.45%;;;52;18.64%;;;;;0;0.00%;;;12;4.30%
Europees;2009;;2;12;646;262;7;0;255;40.56%;149;56.87%;29;11.07%;6;2.29%;14;5.34%;;;45;17.18%;;;;;2;0.76%;;;10;3.82%
Europees;2009;;2;14;1328;344;11;1;332;25.90%;187;54.52%;35;10.20%;14;4.08%;28;8.16%;;;56;16.33%;;;;;2;0.58%;;;10;2.92%
Europees;2009;;2;15;661;149;2;0;147;22.54%;80;53.69%;35;23.49%;4;2.68%;6;4.03%;;;20;13.42%;;;;;0;0.00%;;;2;1.34%
Europees;2009;;2;16;1074;276;5;1;270;25.70%;126;45.82%;31;11.27%;18;6.55%;27;9.82%;;;49;17.82%;;;;;1;0.36%;;;18;6.55%
Europees;2009;;2;17;653;187;3;1;183;28.64%;114;61.29%;18;9.68%;3;1.61%;14;7.53%;;;22;11.83%;;;;;1;0.54%;;;11;5.91%
Europees;2009;;3;1;1328;473;9;5;459;35.62%;199;42.52%;109;23.29%;30;6.41%;30;6.41%;;;64;13.68%;;;;;0;0.00%;;;27;5.77%
Europees;2009;;3;2;992;382;15;1;366;38.51%;140;36.75%;86;22.57%;45;11.81%;22;5.77%;;;51;13.39%;;;;;1;0.26%;;;21;5.51%
Europees;2009;;3;3;1149;398;6;3;389;34.64%;186;47.09%;55;13.92%;26;6.58%;33;8.35%;;;67;16.96%;;;;;1;0.25%;;;21;5.32%
Europees;2009;;3;4;875;281;7;0;274;32.11%;136;48.40%;41;14.59%;7;2.49%;24;8.54%;;;58;20.64%;;;;;0;0.00%;;;8;2.85%
Europees;2009;;3;5;1276;447;13;2;432;35.03%;133;29.89%;146;32.81%;52;11.69%;31;6.97%;;;50;11.24%;;;;;6;1.35%;;;14;3.15%
Europees;2009;;3;6;1344;501;22;6;473;37.28%;164;33.13%;144;29.09%;44;8.89%;30;6.06%;;;62;12.53%;;;;;4;0.81%;;;25;5.05%
Europees;2009;;3;7;1494;513;30;2;481;34.34%;146;28.57%;135;26.42%;51;9.98%;56;10.96%;;;50;9.78%;;;;;6;1.17%;;;37;7.24%
Europees;2009;;3;8;1213;449;3;2;444;37.02%;310;69.35%;17;3.80%;7;1.57%;20;4.47%;;;73;16.33%;;;;;3;0.67%;;;14;3.13%
Europees;2009;;3;9;1689;628;18;6;604;37.18%;226;36.33%;113;18.17%;51;8.20%;41;6.59%;;;118;18.97%;;;;;8;1.29%;;;47;7.56%
Europees;2009;;3;10;1582;480;8;6;466;30.34%;306;64.56%;25;5.27%;14;2.95%;33;6.96%;;;57;12.03%;;;;;2;0.42%;;;29;6.12%
Europees;2009;;3;11;1120;292;5;4;283;26.07%;163;56.60%;21;7.29%;5;1.74%;16;5.56%;;;69;23.96%;;;;;3;1.04%;;;6;2.08%
Europees;2009;;3;12;1677;641;9;4;628;38.22%;311;48.82%;59;9.26%;13;2.04%;25;3.92%;;;197;30.93%;;;;;3;0.47%;;;20;3.14%
Europees;2009;;3;13;428;135;3;1;131;31.54%;86;64.18%;12;8.96%;1;0.75%;5;3.73%;;;21;15.67%;;;;;1;0.75%;;;5;3.73%
Europees;2009;;3;14;1107;401;13;2;386;36.22%;179;44.86%;39;9.77%;21;5.26%;16;4.01%;;;96;24.06%;;;;;0;0.00%;;;35;8.77%
Europees;2009;;3;15;836;364;4;3;357;43.54%;161;44.60%;61;16.90%;26;7.20%;26;7.20%;;;71;19.67%;;;;;2;0.55%;;;10;2.77%
Europees;2009;;3;16;621;254;5;0;249;40.90%;154;60.63%;18;7.09%;7;2.76%;11;4.33%;;;49;19.29%;;;;;0;0.00%;;;10;3.94%
Europees;2009;;3;17;876;302;3;1;298;34.47%;196;65.12%;27;8.97%;5;1.66%;13;4.32%;;;42;13.95%;;;;;4;1.33%;;;11;3.65%
Europees;2009;;3;18;778;278;5;1;272;35.73%;161;58.12%;17;6.14%;10;3.61%;16;5.78%;;;49;17.69%;;;;;2;0.72%;;;17;6.14%
Europees;2009;;3;19;945;381;6;0;375;40.32%;230;60.37%;35;9.19%;12;3.15%;18;4.72%;;;62;16.27%;;;;;1;0.26%;;;17;4.46%
Europees;2009;;3;20;1208;417;12;1;404;34.52%;182;43.75%;75;18.03%;32;7.69%;29;6.97%;;;61;14.66%;;;;;1;0.24%;;;24;5.77%
