Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;ERC;% ERC;Verds;% Verds;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
5;6;1536;1209;16;1;1192;78.71%;345;28.56%;260;21.52%;4;0.33%;41;3.39%;127;10.51%;404;33.44%;11;0.91%
5;7;1906;1534;18;6;1510;80.48%;395;25.85%;328;21.47%;7;0.46%;87;5.69%;193;12.63%;488;31.94%;12;0.79%
5;8;1441;1176;13;1;1162;81.61%;300;25.53%;214;18.21%;8;0.68%;80;6.81%;135;11.49%;421;35.83%;4;0.34%
5;9;1391;1140;14;2;1124;81.96%;198;17.40%;150;13.18%;11;0.97%;82;7.21%;170;14.94%;501;44.02%;12;1.05%
5;10;1684;1257;8;0;1249;74.64%;112;8.91%;76;6.05%;15;1.19%;111;8.83%;178;14.16%;748;59.51%;9;0.72%
5;11;1499;1188;7;0;1181;79.25%;223;18.77%;155;13.05%;13;1.09%;68;5.72%;199;16.75%;521;43.86%;2;0.17%
5;12;622;466;1;0;465;74.92%;66;14.16%;48;10.30%;3;0.64%;29;6.22%;66;14.16%;251;53.86%;2;0.43%
5;13;994;689;5;2;682;69.32%;74;10.77%;55;8.01%;9;1.31%;42;6.11%;94;13.68%;402;58.52%;6;0.87%
5;14;1528;1200;11;4;1185;78.53%;133;11.12%;120;10.03%;23;1.92%;92;7.69%;158;13.21%;648;54.18%;11;0.92%
5;15;1519;1083;15;4;1064;71.30%;100;9.27%;75;6.95%;10;0.93%;83;7.69%;115;10.66%;671;62.19%;10;0.93%
5;16;1648;1227;15;3;1209;74.45%;162;13.24%;95;7.76%;19;1.55%;75;6.13%;187;15.28%;657;53.68%;14;1.14%
5;17;1204;941;10;3;928;78.16%;176;18.76%;136;14.50%;8;0.85%;90;9.59%;103;10.98%;411;43.82%;4;0.43%
5;18;1168;920;7;0;913;78.77%;127;13.80%;58;6.30%;14;1.52%;61;6.63%;179;19.46%;473;51.41%;1;0.11%
5;19;1403;994;8;5;981;70.85%;118;11.93%;113;11.43%;15;1.52%;75;7.58%;136;13.75%;508;51.37%;16;1.62%
5;20;1086;853;8;3;842;78.55%;202;23.76%;156;18.35%;9;1.06%;66;7.76%;99;11.65%;309;36.35%;1;0.12%
5;21;1440;1115;7;1;1107;77.43%;185;16.61%;141;12.66%;6;0.54%;86;7.72%;143;12.84%;536;48.11%;10;0.90%
