Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU;% CiU;PP;% PP;ICV;% ICV;ERC;% ERC;EUiA;% EUiA;Verds;% Verds;Altres;% Altres
Municipals;1999;3;6;827;465;10;6;449;56.23%;134;29.19%;158;34.42%;57;12.42%;23;5.01%;57;12.42%;4;0.87%;12;2.61%;4;0.87%
Municipals;1999;3;7;849;426;13;0;413;50.18%;170;39.91%;129;30.28%;38;8.92%;29;6.81%;33;7.75%;3;0.70%;9;2.11%;2;0.47%
Municipals;1999;3;8;1576;778;6;2;770;49.37%;563;72.55%;28;3.61%;83;10.70%;33;4.25%;7;0.90%;15;1.93%;37;4.77%;4;0.52%
Municipals;1999;3;9;995;473;13;3;457;47.54%;176;37.45%;90;19.15%;54;11.49%;66;14.04%;31;6.60%;13;2.77%;23;4.89%;4;0.85%
Municipals;1999;3;10;1832;779;10;2;767;42.52%;389;50.06%;15;1.93%;96;12.36%;195;25.10%;15;1.93%;32;4.12%;23;2.96%;2;0.26%
Municipals;1999;3;11;1325;504;7;3;494;38.04%;268;53.49%;18;3.59%;56;11.18%;126;25.15%;6;1.20%;14;2.79%;4;0.80%;2;0.40%
Municipals;1999;3;12;1515;692;10;2;680;45.68%;280;40.58%;44;6.38%;162;23.48%;131;18.99%;17;2.46%;19;2.75%;26;3.77%;1;0.14%
Municipals;1999;3;13;630;299;2;2;295;47.46%;194;65.32%;20;6.73%;39;13.13%;19;6.40%;4;1.35%;9;3.03%;8;2.69%;2;0.67%
Municipals;1999;3;14;1332;572;8;5;559;42.94%;363;64.02%;43;7.58%;89;15.70%;23;4.06%;14;2.47%;11;1.94%;15;2.65%;1;0.18%
Municipals;1999;3;15;863;407;0;0;407;47.16%;228;56.02%;50;12.29%;58;14.25%;26;6.39%;27;6.63%;5;1.23%;11;2.70%;2;0.49%
