Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;CUP;% CUP;ERC;% ERC;PP;% PP;PSC;% PSC;PxC;% PxC;En Comú;% En Comú;Altres;% Altres
Municipals;2015;5;18;8279805018;983;606;10;5;591;61,14%;77;12,81%;25;4,16%;12;2,00%;25;4,16%;54;8,99%;224;37,27%;18;3,00%;142;23,63%;14;0.0237
Municipals;2015;5;19;8279805019;987;478;8;2;468;48,23%;56;11,76%;54;11,34%;30;6,30%;73;15,34%;16;3,36%;122;25,63%;4;0,84%;102;21,43%;11;0.0235
Municipals;2015;5;20;8279805020;1179;653;9;1;643;55,30%;53;8,13%;85;13,04%;56;8,59%;114;17,48%;30;4,60%;171;26,23%;5;0,77%;111;17,02%;18;0.0280
Municipals;2015;5;21;8279805021;1394;794;14;3;777;56,74%;79;9,99%;79;9,99%;38;4,80%;96;12,14%;58;7,33%;236;29,84%;8;1,01%;171;21,62%;12;0.0154
Municipals;2015;5;22;8279805022;533;286;1;0;285;53,66%;34;11,89%;20;6,99%;17;5,94%;35;12,24%;21;7,34%;91;31,82%;10;3,50%;47;16,43%;10;0.0351
Municipals;2015;5;23;8279805023;1282;725;12;1;712;56,47%;61;8,43%;148;20,44%;57;7,87%;164;22,65%;25;3,45%;130;17,96%;5;0,69%;115;15,88%;7;0.0098
Municipals;2015;5;24;8279805024;1168;675;7;1;667;57,71%;85;12,61%;68;10,09%;37;5,49%;86;12,76%;36;5,34%;161;23,89%;13;1,93%;163;24,18%;18;0.0270
Municipals;2015;5;25;8279805025;874;457;7;4;446;51,83%;68;15,01%;38;8,39%;17;3,75%;52;11,48%;22;4,86%;143;31,57%;14;3,09%;89;19,65%;3;0.0067
Municipals;2015;5;26;8279805026;994;613;2;0;611;61,67%;73;11,91%;93;15,17%;32;5,22%;144;23,49%;33;5,38%;130;21,21%;3;0,49%;93;15,17%;10;0.0164
Municipals;2015;5;27;8279805027;957;577;9;5;563;59,77%;59;10,31%;79;13,81%;39;6,82%;111;19,41%;26;4,55%;126;22,03%;8;1,40%;113;19,76%;2;0.0036
Municipals;2015;5;28;8279805028;876;507;6;4;497;57,42%;73;14,51%;25;4,97%;17;3,38%;41;8,15%;22;4,37%;185;36,78%;9;1,79%;115;22,86%;10;0.0201
Municipals;2015;5;29;8279805029;887;517;4;2;511;58,06%;73;14,17%;20;3,88%;24;4,66%;60;11,65%;23;4,47%;163;31,65%;6;1,17%;127;24,66%;15;0.0294
Municipals;2015;6;1;8279806001;879;491;7;0;484;55,86%;61;12,42%;27;5,50%;9;1,83%;31;6,31%;17;3,46%;215;43,79%;13;2,65%;106;21,59%;5;0.0103
Municipals;2015;6;2;8279806002;1180;593;4;3;586;50,00%;79;13,39%;43;7,29%;20;3,39%;47;7,97%;33;5,59%;197;33,39%;10;1,69%;131;22,20%;26;0.0444
Municipals;2015;6;3;8279806003;1455;735;2;4;729;50,24%;100;13,68%;39;5,34%;34;4,65%;44;6,02%;62;8,48%;245;33,52%;15;2,05%;183;25,03%;7;0.0096
Municipals;2015;6;4;8279806004;870;446;6;1;439;51,15%;59;13,26%;26;5,84%;34;7,64%;41;9,21%;48;10,79%;132;29,66%;11;2,47%;82;18,43%;6;0.0137
Municipals;2015;6;5;8279806005;1106;557;2;0;555;50,36%;66;11,85%;20;3,59%;33;5,92%;62;11,13%;33;5,92%;156;28,01%;22;3,95%;156;28,01%;7;0.0126
Municipals;2015;6;6;8279806006;1117;550;7;4;539;48,88%;126;23,08%;21;3,85%;22;4,03%;25;4,58%;29;5,31%;173;31,68%;20;3,66%;120;21,98%;3;0.0056
Municipals;2015;6;8;8279806008;1634;881;5;9;867;53,37%;102;11,70%;92;10,55%;53;6,08%;158;18,12%;32;3,67%;244;27,98%;19;2,18%;158;18,12%;9;0.0104
Municipals;2015;6;9;8279806009;876;491;4;0;487;56,05%;57;11,61%;27;5,50%;22;4,48%;32;6,52%;30;6,11%;169;34,42%;10;2,04%;134;27,29%;6;0.0123
Municipals;2015;6;10;8279806010;1548;873;9;4;860;56,14%;127;14,61%;38;4,37%;27;3,11%;55;6,33%;56;6,44%;324;37,28%;22;2,53%;197;22,67%;14;0.0163
Municipals;2015;6;11;8279806011;1287;580;2;2;576;44,91%;68;11,76%;21;3,63%;15;2,60%;39;6,75%;37;6,40%;199;34,43%;7;1,21%;173;29,93%;17;0.0295
Municipals;2015;6;12;8279806012;935;481;1;3;477;51,12%;65;13,60%;29;6,07%;24;5,02%;50;10,46%;39;8,16%;147;30,75%;8;1,67%;113;23,64%;2;0.0042
Municipals;2015;6;13;8279806013;702;383;3;1;379;54,42%;48;12,57%;9;2,36%;10;2,62%;8;2,09%;33;8,64%;140;36,65%;17;4,45%;103;26,96%;11;0.0290
Municipals;2015;6;14;8279806014;727;318;3;1;314;43,60%;33;10,41%;7;2,21%;16;5,05%;16;5,05%;24;7,57%;120;37,85%;18;5,68%;70;22,08%;10;0.0318
Municipals;2015;6;16;8279806016;1140;512;2;2;508;44,74%;48;9,41%;58;11,37%;18;3,53%;29;5,69%;36;7,06%;159;31,18%;14;2,75%;139;27,25%;7;0.0138
Municipals;2015;6;18;8279806018;909;484;7;7;470;52,48%;51;10,69%;18;3,77%;13;2,73%;14;2,94%;35;7,34%;202;42,35%;21;4,40%;105;22,01%;11;0.0234
Municipals;2015;6;20;8279806020;1174;534;9;6;519;44,97%;73;13,83%;16;3,03%;15;2,84%;31;5,87%;29;5,49%;207;39,20%;30;5,68%;102;19,32%;16;0.0308
Municipals;2015;6;23;8279806023;1005;485;4;3;478;47,96%;75;15,56%;10;2,07%;8;1,66%;35;7,26%;32;6,64%;194;40,25%;11;2,28%;110;22,82%;3;0.0063
Municipals;2015;6;24;8279806024;1780;893;12;4;877;49,94%;134;15,07%;20;2,25%;25;2,81%;42;4,72%;51;5,74%;290;32,62%;16;1,80%;283;31,83%;16;0.0182
Municipals;2015;6;25;8279806025;1408;730;12;2;716;51,70%;80;10,99%;27;3,71%;28;3,85%;49;6,73%;42;5,77%;288;39,56%;16;2,20%;172;23,63%;14;0.0196
Municipals;2015;6;26;8279806026;1198;576;6;1;569;48,00%;76;13,22%;12;2,09%;24;4,17%;25;4,35%;19;3,30%;223;38,78%;37;6,43%;146;25,39%;7;0.0123
Municipals;2015;6;27;8279806027;981;481;5;0;476;49,03%;51;10,60%;8;1,66%;5;1,04%;24;4,99%;26;5,41%;238;49,48%;13;2,70%;109;22,66%;2;0.0042
Municipals;2015;6;28;8279806028;1189;666;6;6;654;55,51%;80;12,12%;16;2,42%;19;2,88%;33;5,00%;45;6,82%;257;38,94%;13;1,97%;187;28,33%;4;0.0061
Municipals;2015;6;29;8279806029;769;378;5;2;371;48,89%;66;17,55%;6;1,60%;11;2,93%;17;4,52%;24;6,38%;136;36,17%;16;4,26%;91;24,20%;4;0.0108
Municipals;2015;6;30;8279806030;549;236;3;2;231;42,62%;42;17,95%;9;3,85%;7;2,99%;17;7,26%;8;3,42%;65;27,78%;7;2,99%;73;31,20%;3;0.0130
Municipals;2015;6;31;8279806031;740;389;4;0;385;52,57%;49;12,60%;10;2,57%;16;4,11%;29;7,46%;11;2,83%;141;36,25%;12;3,08%;114;29,31%;3;0.0078
Municipals;2015;6;32;8279806032;559;249;3;2;244;44,19%;52;21,05%;12;4,86%;7;2,83%;9;3,64%;10;4,05%;51;20,65%;16;6,48%;79;31,98%;8;0.0328
Municipals;2015;6;33;8279806033;1001;533;11;2;520;53,05%;117;22,03%;24;4,52%;21;3,95%;55;10,36%;23;4,33%;143;26,93%;15;2,82%;115;21,66%;7;0.0135
