Elecció;Any;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;ICV / Comuns;% ICV / Comuns;Podemos;% Podemos;PP;% PP;VOX;% VOX;SALF;% SALF;PACMA;% PACMA;Cs;% Cs;Altres;% Altres;Partido X;% Partido X;UPyD;% UPyD
Europees;2009;;6;28;1179;383;5;4;374;32.49%;204;53.83%;31;8.18%;10;2.64%;32;8.44%;;;78;20.58%;;;;;0;0.00%;;;19;5.01%;;;;
Europees;2009;;6;29;777;188;5;1;182;24.20%;115;61.50%;12;6.42%;1;0.53%;8;4.28%;;;37;19.79%;;;;;0;0.00%;;;9;4.81%;;;;
Europees;2009;;6;30;553;139;6;0;133;25.14%;66;47.48%;14;10.07%;6;4.32%;15;10.79%;;;29;20.86%;;;;;0;0.00%;;;3;2.16%;;;;
Europees;2009;;6;31;768;196;4;4;188;25.52%;112;58.33%;7;3.65%;10;5.21%;19;9.90%;;;26;13.54%;;;;;1;0.52%;;;13;6.77%;;;;
Europees;2009;;6;32;523;94;4;0;90;17.97%;41;43.62%;14;14.89%;4;4.26%;6;6.38%;;;19;20.21%;;;;;1;1.06%;;;5;5.32%;;;;
Europees;2009;;6;33;938;246;3;8;235;26.23%;103;43.28%;49;20.59%;13;5.46%;22;9.24%;;;32;13.45%;;;;;2;0.84%;;;14;5.88%;;;;
Europees;2014;;1;1;1033;692;7;2;683;66.99%;23;3.33%;353;51.16%;178;25.80%;32;4.64%;6;0.87%;52;7.54%;1;0.14%;;;4;0.58%;15;2.17%;10;1.45%;;;;
Europees;2014;;1;2;1070;632;9;7;616;59.07%;22;3.52%;242;38.72%;195;31.20%;44;7.04%;9;1.44%;56;8.96%;2;0.32%;;;4;0.64%;7;1.12%;20;3.20%;;;;
Europees;2014;;1;4;1492;910;14;5;891;60.99%;45;4.97%;282;31.16%;298;32.93%;78;8.62%;25;2.76%;62;6.85%;4;0.44%;;;9;0.99%;38;4.20%;25;2.76%;;;;
Europees;2014;;1;5;980;596;13;3;580;60.82%;40;6.75%;214;36.09%;151;25.46%;57;9.61%;13;2.19%;42;7.08%;2;0.34%;;;4;0.67%;29;4.89%;17;2.87%;;;;
Europees;2014;;1;6;1185;742;9;3;730;62.62%;31;4.19%;291;39.38%;207;28.01%;47;6.36%;10;1.35%;84;11.37%;0;0.00%;;;4;0.54%;21;2.84%;22;2.98%;;;;
Europees;2014;;1;7;1331;784;11;4;769;58.90%;41;5.26%;282;36.15%;238;30.51%;48;6.15%;13;1.67%;90;11.54%;3;0.38%;;;4;0.51%;26;3.33%;20;2.56%;;;;
Europees;2014;;1;8;1804;1098;21;4;1073;60.86%;46;4.20%;451;41.22%;321;29.34%;84;7.68%;17;1.55%;68;6.22%;4;0.37%;;;10;0.91%;31;2.83%;24;2.19%;;;;
Europees;2014;;1;9;983;615;14;1;600;62.56%;14;2.28%;223;36.32%;198;32.25%;57;9.28%;11;1.79%;51;8.31%;3;0.49%;;;7;1.14%;16;2.61%;16;2.61%;;;;
Europees;2014;;1;10;954;553;2;1;550;57.97%;43;7.79%;157;28.44%;185;33.51%;71;12.86%;11;1.99%;32;5.80%;1;0.18%;;;2;0.36%;20;3.62%;19;3.44%;;;;
Europees;2014;;1;11;915;470;6;1;463;51.37%;88;18.76%;70;14.93%;119;25.37%;50;10.66%;27;5.76%;30;6.40%;1;0.21%;;;7;1.49%;35;7.46%;19;4.05%;;;;
Europees;2014;;1;12;1084;553;19;5;529;51.01%;78;14.23%;109;19.89%;128;23.36%;67;12.23%;33;6.02%;34;6.20%;4;0.73%;;;2;0.36%;30;5.47%;33;6.02%;;;;
Europees;2014;;1;13;629;290;6;1;283;46.10%;87;30.10%;12;4.15%;33;11.42%;41;14.19%;17;5.88%;30;10.38%;0;0.00%;;;5;1.73%;35;12.11%;13;4.50%;;;;
Europees;2014;;1;14;1559;739;8;5;726;47.40%;177;24.11%;88;11.99%;138;18.80%;65;8.86%;46;6.27%;81;11.04%;1;0.14%;;;5;0.68%;74;10.08%;28;3.81%;;;;
Europees;2014;;1;15;911;472;9;1;462;51.81%;92;19.53%;86;18.26%;102;21.66%;64;13.59%;19;4.03%;30;6.37%;0;0.00%;;;14;2.97%;31;6.58%;19;4.03%;;;;
Europees;2014;;1;16;1805;1001;12;6;983;55.46%;115;11.56%;271;27.24%;296;29.75%;90;9.05%;31;3.12%;63;6.33%;3;0.30%;;;19;1.91%;44;4.42%;34;3.42%;;;;
Europees;2014;;1;17;1637;1027;10;9;1008;62.74%;102;10.02%;363;35.66%;298;29.27%;96;9.43%;36;3.54%;45;4.42%;5;0.49%;;;4;0.39%;19;1.87%;34;3.34%;;;;
Europees;2014;;1;18;443;277;5;1;271;62.53%;19;6.88%;98;35.51%;72;26.09%;28;10.14%;13;4.71%;21;7.61%;0;0.00%;;;1;0.36%;9;3.26%;7;2.54%;;;;
Europees;2014;;1;19;1112;590;12;3;575;53.06%;103;17.55%;90;15.33%;132;22.49%;70;11.93%;42;7.16%;47;8.01%;1;0.17%;;;6;1.02%;40;6.81%;30;5.11%;;;;
Europees;2014;;1;20;981;606;1;3;602;61.77%;64;10.61%;168;27.86%;172;28.52%;55;9.12%;23;3.81%;56;9.29%;1;0.17%;;;1;0.17%;27;4.48%;20;3.32%;;;;
Europees;2014;;1;21;1068;549;6;5;538;51.40%;64;11.76%;122;22.43%;118;21.69%;48;8.82%;30;5.51%;49;9.01%;0;0.00%;;;5;0.92%;52;9.56%;28;5.15%;;;;
Europees;2014;;1;22;1340;759;9;2;748;56.64%;57;7.53%;224;29.59%;219;28.93%;78;10.30%;31;4.10%;52;6.87%;7;0.92%;;;6;0.79%;37;4.89%;26;3.43%;;;;
Europees;2014;;1;23;953;610;14;3;593;64.01%;49;8.07%;142;23.39%;187;30.81%;75;12.36%;24;3.95%;47;7.74%;1;0.16%;;;7;1.15%;30;4.94%;20;3.29%;;;;
Europees;2014;;1;24;614;431;5;1;425;70.20%;14;3.26%;179;41.63%;113;26.28%;48;11.16%;8;1.86%;31;7.21%;1;0.23%;;;4;0.93%;8;1.86%;11;2.56%;;;;
Europees;2014;;2;1;1063;467;4;5;458;43.93%;140;30.30%;24;5.19%;56;12.12%;53;11.47%;32;6.93%;65;14.07%;0;0.00%;;;6;1.30%;47;10.17%;17;3.68%;;;;
Europees;2014;;2;2;528;224;3;4;217;42.42%;74;33.64%;9;4.09%;15;6.82%;21;9.55%;11;5.00%;37;16.82%;0;0.00%;;;4;1.82%;12;5.45%;26;11.82%;;;;
Europees;2014;;2;3;822;305;4;2;299;37.10%;130;42.90%;15;4.95%;21;6.93%;39;12.87%;7;2.31%;40;13.20%;3;0.99%;;;4;1.32%;25;8.25%;10;3.30%;;;;
Europees;2014;;2;4;707;282;7;3;272;39.89%;104;37.28%;25;8.96%;14;5.02%;30;10.75%;7;2.51%;43;15.41%;0;0.00%;;;1;0.36%;23;8.24%;14;5.02%;;;;
Europees;2014;;2;5;833;332;10;4;318;39.86%;109;33.23%;16;4.88%;39;11.89%;32;9.76%;15;4.57%;29;8.84%;0;0.00%;;;6;1.83%;41;12.50%;16;4.88%;;;;
Europees;2014;;2;6;722;307;2;3;302;42.52%;94;30.92%;20;6.58%;39;12.83%;23;7.57%;25;8.22%;41;13.49%;2;0.66%;;;7;2.30%;27;8.88%;13;4.28%;;;;
Europees;2014;;2;8;708;288;7;8;273;40.68%;87;31.07%;6;2.14%;22;7.86%;38;13.57%;31;11.07%;26;9.29%;0;0.00%;;;12;4.29%;24;8.57%;18;6.43%;;;;
Europees;2014;;2;9;1040;451;8;4;439;43.37%;130;29.08%;25;5.59%;46;10.29%;54;12.08%;44;9.84%;48;10.74%;0;0.00%;;;6;1.34%;45;10.07%;24;5.37%;;;;
Europees;2014;;2;11;828;329;11;4;314;39.73%;72;22.15%;23;7.08%;33;10.15%;37;11.38%;24;7.38%;37;11.38%;1;0.31%;;;6;1.85%;49;15.08%;16;4.92%;;;;
Europees;2014;;2;12;634;236;2;3;231;37.22%;76;32.62%;22;9.44%;12;5.15%;31;13.30%;11;4.72%;22;9.44%;1;0.43%;;;11;4.72%;12;5.15%;19;8.15%;;;;
Europees;2014;;2;14;1408;551;12;10;529;39.13%;107;19.78%;30;5.55%;75;13.86%;79;14.60%;49;9.06%;39;7.21%;1;0.18%;;;12;2.22%;75;13.86%;45;8.32%;;;;
Europees;2014;;2;15;630;164;3;2;159;26.03%;62;38.27%;8;4.94%;13;8.02%;21;12.96%;11;6.79%;16;9.88%;0;0.00%;;;3;1.85%;12;7.41%;8;4.94%;;;;
Europees;2014;;2;16;1276;474;12;5;457;37.15%;62;13.22%;29;6.18%;86;18.34%;66;14.07%;50;10.66%;24;5.12%;4;0.85%;;;17;3.62%;72;15.35%;24;5.12%;;;;
Europees;2014;;2;17;1096;388;4;5;379;35.40%;115;30.03%;17;4.44%;44;11.49%;44;11.49%;36;9.40%;31;8.09%;1;0.26%;;;11;2.87%;43;11.23%;28;7.31%;;;;
Europees;2014;;3;1;1318;598;9;3;586;45.37%;77;12.94%;115;19.33%;156;26.22%;72;12.10%;44;7.39%;34;5.71%;0;0.00%;;;6;1.01%;39;6.55%;28;4.71%;;;;
Europees;2014;;3;2;1050;550;10;0;540;52.38%;90;16.36%;86;15.64%;131;23.82%;59;10.73%;24;4.36%;43;7.82%;1;0.18%;;;12;2.18%;47;8.55%;26;4.73%;;;;
Europees;2014;;3;3;1155;494;11;4;479;42.77%;94;19.18%;58;11.84%;86;17.55%;74;15.10%;39;7.96%;46;9.39%;1;0.20%;;;4;0.82%;35;7.14%;22;4.49%;;;;
Europees;2014;;3;4;927;354;9;2;343;38.19%;86;24.43%;25;7.10%;50;14.20%;42;11.93%;25;7.10%;41;11.65%;0;0.00%;;;5;1.42%;32;9.09%;27;7.67%;;;;
Europees;2014;;3;5;1481;706;12;4;690;47.67%;100;14.25%;165;23.50%;184;26.21%;77;10.97%;43;6.13%;25;3.56%;0;0.00%;;;13;1.85%;39;5.56%;31;4.42%;;;;
Europees;2014;;3;6;1406;735;15;1;719;52.28%;60;8.17%;174;23.71%;241;32.83%;36;4.90%;43;5.86%;44;5.99%;0;0.00%;;;10;1.36%;37;5.04%;51;6.95%;;;;
Europees;2014;;3;7;1587;783;10;8;765;49.34%;82;10.58%;188;24.26%;199;25.68%;97;12.52%;32;4.13%;44;5.68%;1;0.13%;;;11;1.42%;46;5.94%;39;5.03%;;;;
Europees;2014;;3;8;1575;613;6;5;602;38.92%;224;36.84%;27;4.44%;49;8.06%;64;10.53%;51;8.39%;60;9.87%;3;0.49%;;;3;0.49%;59;9.70%;46;7.57%;;;;
Europees;2014;;3;9;1902;941;11;9;921;49.47%;131;14.06%;166;17.81%;164;17.60%;140;15.02%;84;9.01%;58;6.22%;6;0.64%;;;20;2.15%;86;9.23%;46;4.94%;;;;
Europees;2014;;3;10;1548;585;9;6;570;37.79%;201;34.72%;26;4.49%;37;6.39%;59;10.19%;58;10.02%;42;7.25%;1;0.17%;;;8;1.38%;74;12.78%;29;5.01%;;;;
Europees;2014;;3;11;1134;331;7;0;324;29.19%;120;36.25%;6;1.81%;28;8.46%;33;9.97%;25;7.55%;25;7.55%;4;1.21%;;;4;1.21%;37;11.18%;25;7.55%;;;;
Europees;2014;;3;12;1747;683;22;13;648;39.10%;175;26.12%;41;6.12%;61;9.10%;74;11.04%;32;4.78%;121;18.06%;4;0.60%;;;4;0.60%;87;12.99%;26;3.88%;;;;
Europees;2014;;3;14;1100;403;5;2;396;36.64%;104;25.94%;21;5.24%;76;18.95%;42;10.47%;23;5.74%;57;14.21%;1;0.25%;;;7;1.75%;21;5.24%;29;7.23%;;;;
Europees;2014;;3;15;923;429;6;5;418;46.48%;98;23.11%;52;12.26%;74;17.45%;49;11.56%;24;5.66%;47;11.08%;1;0.24%;;;10;2.36%;39;9.20%;20;4.72%;;;;
Europees;2014;;3;16;636;283;7;2;274;44.50%;97;34.52%;10;3.56%;10;3.56%;19;6.76%;33;11.74%;38;13.52%;3;1.07%;;;3;1.07%;32;11.39%;20;7.12%;;;;
Europees;2014;;3;17;867;332;4;4;324;38.29%;109;33.23%;11;3.35%;19;5.79%;0;0.00%;21;6.40%;40;12.20%;0;0.00%;;;12;3.66%;39;11.89%;56;17.07%;;;;
Europees;2014;;3;18;743;331;8;6;317;44.55%;84;25.85%;20;6.15%;25;7.69%;34;10.46%;32;9.85%;32;9.85%;1;0.31%;;;5;1.54%;40;12.31%;23;7.08%;;;;
Europees;2014;;3;19;914;349;5;3;341;38.18%;99;28.61%;21;6.07%;34;9.83%;28;8.09%;25;7.23%;52;15.03%;0;0.00%;;;3;0.87%;52;15.03%;18;5.20%;;;;
Europees;2014;;3;20;1178;574;10;6;558;48.73%;128;22.54%;67;11.80%;108;19.01%;68;11.97%;31;5.46%;47;8.27%;1;0.18%;;;12;2.11%;41;7.22%;33;5.81%;;;;
Europees;2014;;4;1;1085;605;7;1;597;55.76%;31;5.13%;230;38.08%;166;27.48%;57;9.44%;11;1.82%;46;7.62%;0;0.00%;;;5;0.83%;19;3.15%;26;4.30%;;;;
Europees;2014;;4;2;1106;657;16;1;640;59.40%;29;4.42%;278;42.38%;191;29.12%;45;6.86%;18;2.74%;35;5.34%;0;0.00%;;;2;0.30%;14;2.13%;24;3.66%;;;;
Europees;2014;;4;3;1235;675;8;1;666;54.66%;67;9.94%;177;26.26%;200;29.67%;72;10.68%;31;4.60%;54;8.01%;1;0.15%;;;14;2.08%;21;3.12%;17;2.52%;;;;
Europees;2014;;4;4;1107;562;13;4;545;50.77%;76;13.62%;129;23.12%;146;26.16%;54;9.68%;24;4.30%;49;8.78%;1;0.18%;;;4;0.72%;26;4.66%;28;5.02%;;;;
Europees;2014;;4;5;1259;568;12;5;551;45.12%;57;10.12%;122;21.67%;141;25.04%;74;13.14%;25;4.44%;21;3.73%;0;0.00%;;;7;1.24%;53;9.41%;31;5.51%;;;;
Europees;2014;;4;6;1379;664;12;8;644;48.15%;146;22.26%;66;10.06%;124;18.90%;83;12.65%;42;6.40%;64;9.76%;0;0.00%;;;17;2.59%;51;7.77%;31;4.73%;;;;
Europees;2014;;4;7;1890;725;17;7;701;38.36%;150;20.89%;88;12.26%;110;15.32%;83;11.56%;53;7.38%;60;8.36%;4;0.56%;;;16;2.23%;69;9.61%;31;4.32%;;;;
Europees;2014;;4;8;927;391;4;4;383;42.18%;63;16.28%;41;10.59%;55;14.21%;59;15.25%;35;9.04%;34;8.79%;0;0.00%;;;11;2.84%;34;8.79%;35;9.04%;;;;
Europees;2014;;4;9;751;303;5;2;296;40.35%;83;27.57%;20;6.64%;20;6.64%;42;13.95%;17;5.65%;36;11.96%;3;1.00%;;;11;3.65%;30;9.97%;17;5.65%;;;;
Europees;2014;;4;10;737;337;4;1;332;45.73%;139;41.37%;16;4.76%;33;9.82%;50;14.88%;17;5.06%;31;9.23%;0;0.00%;;;2;0.60%;24;7.14%;11;3.27%;;;;
Europees;2014;;4;12;975;456;4;4;448;46.77%;78;17.26%;68;15.04%;101;22.35%;50;11.06%;36;7.96%;35;7.74%;1;0.22%;;;3;0.66%;40;8.85%;17;3.76%;;;;
Europees;2014;;4;13;1198;645;4;5;636;53.84%;91;14.22%;149;23.28%;188;29.38%;71;11.09%;28;4.38%;45;7.03%;0;0.00%;;;5;0.78%;22;3.44%;26;4.06%;;;;
Europees;2014;;4;14;958;597;10;2;585;62.32%;30;5.04%;217;36.47%;195;32.77%;44;7.39%;11;1.85%;46;7.73%;0;0.00%;;;4;0.67%;13;2.18%;17;2.86%;;;;
Europees;2014;;4;15;828;498;7;3;488;60.14%;24;4.85%;216;43.64%;134;27.07%;50;10.10%;3;0.61%;39;7.88%;1;0.20%;;;2;0.40%;6;1.21%;10;2.02%;;;;
Europees;2014;;4;16;949;598;13;2;583;63.01%;40;6.71%;236;39.60%;151;25.34%;56;9.40%;5;0.84%;59;9.90%;4;0.67%;;;4;0.67%;11;1.85%;16;2.68%;;;;
Europees;2014;;4;17;1115;684;17;4;663;61.35%;57;8.38%;211;31.03%;213;31.32%;62;9.12%;19;2.79%;50;7.35%;2;0.29%;;;12;1.76%;20;2.94%;15;2.21%;;;;
Europees;2014;;4;18;1825;953;13;12;928;52.22%;120;12.75%;216;22.95%;258;27.42%;101;10.73%;38;4.04%;59;6.27%;1;0.11%;;;10;1.06%;73;7.76%;24;2.55%;;;;
Europees;2014;;4;19;901;424;14;6;404;47.06%;77;18.42%;39;9.33%;75;17.94%;71;16.99%;22;5.26%;39;9.33%;1;0.24%;;;6;1.44%;37;8.85%;12;2.87%;;;;
Europees;2014;;4;20;556;212;3;0;209;38.13%;102;48.11%;5;2.36%;17;8.02%;20;9.43%;13;6.13%;22;10.38%;0;0.00%;;;4;1.89%;7;3.30%;13;6.13%;;;;
Europees;2014;;4;21;768;347;6;1;340;45.18%;99;28.61%;13;3.76%;45;13.01%;47;13.58%;31;8.96%;29;8.38%;1;0.29%;;;6;1.73%;35;10.12%;17;4.91%;;;;
Europees;2014;;4;22;1576;620;24;8;588;39.34%;101;16.50%;38;6.21%;90;14.71%;121;19.77%;42;6.86%;52;8.50%;4;0.65%;;;9;1.47%;71;11.60%;35;5.72%;;;;
Europees;2014;;4;23;1508;651;28;8;615;43.17%;120;18.66%;47;7.31%;99;15.40%;92;14.31%;37;5.75%;55;8.55%;1;0.16%;;;12;1.87%;75;11.66%;41;6.38%;;;;
Europees;2014;;4;24;1525;582;10;5;567;38.16%;121;20.97%;67;11.61%;72;12.48%;65;11.27%;49;8.49%;54;9.36%;4;0.69%;;;15;2.60%;64;11.09%;34;5.89%;;;;
Europees;2014;;4;25;916;439;0;10;429;47.93%;81;18.88%;62;14.45%;92;21.45%;54;12.59%;26;6.06%;33;7.69%;2;0.47%;;;3;0.70%;39;9.09%;20;4.66%;;;;
Europees;2014;;4;26;1045;618;11;0;607;59.14%;51;8.25%;227;36.73%;188;30.42%;56;9.06%;9;1.46%;35;5.66%;1;0.16%;;;3;0.49%;17;2.75%;11;1.78%;;;;
Europees;2014;;5;1;1505;674;9;4;661;44.78%;101;15.07%;95;14.18%;154;22.99%;80;11.94%;35;5.22%;64;9.55%;0;0.00%;;;13;1.94%;71;10.60%;26;3.88%;;;;
Europees;2014;;5;2;1095;444;7;4;433;40.55%;108;24.55%;39;8.86%;51;11.59%;54;12.27%;38;8.64%;45;10.23%;1;0.23%;;;9;2.05%;54;12.27%;17;3.86%;;;;
Europees;2014;;5;3;1440;698;11;1;686;48.47%;66;9.47%;199;28.55%;185;26.54%;73;10.47%;30;4.30%;56;8.03%;1;0.14%;;;7;1.00%;28;4.02%;24;3.44%;;;;
Europees;2014;;5;4;1150;601;7;6;588;52.26%;82;13.78%;139;23.36%;158;26.55%;78;13.11%;33;5.55%;38;6.39%;1;0.17%;;;4;0.67%;31;5.21%;23;3.87%;;;;
Europees;2014;;5;5;765;372;5;2;365;48.63%;41;11.08%;85;22.97%;112;30.27%;29;7.84%;28;7.57%;34;9.19%;2;0.54%;;;1;0.27%;12;3.24%;14;3.78%;;;;
Europees;2014;;5;6;1542;821;16;4;801;53.24%;86;10.53%;219;26.81%;240;29.38%;76;9.30%;28;3.43%;41;5.02%;2;0.24%;;;5;0.61%;63;7.71%;20;2.45%;;;;
Europees;2014;;5;7;870;514;10;1;503;59.08%;47;9.16%;117;22.81%;160;31.19%;64;12.48%;21;4.09%;29;5.65%;1;0.19%;;;5;0.97%;28;5.46%;17;3.31%;;;;
Europees;2014;;5;8;1410;703;10;3;690;49.86%;85;12.14%;177;25.29%;222;31.71%;62;8.86%;28;4.00%;36;5.14%;2;0.29%;;;10;1.43%;32;4.57%;18;2.57%;;;;
Europees;2014;;5;9;1344;712;14;6;692;52.98%;114;16.15%;125;17.71%;141;19.97%;101;14.31%;45;6.37%;71;10.06%;2;0.28%;;;5;0.71%;59;8.36%;13;1.84%;;;;
Europees;2014;;5;10;1452;643;11;2;630;44.28%;207;32.29%;31;4.84%;61;9.52%;69;10.76%;36;5.62%;86;13.42%;1;0.16%;;;15;2.34%;57;8.89%;49;7.64%;;;;
Europees;2014;;5;11;1474;782;18;3;761;53.05%;132;16.94%;131;16.82%;143;18.36%;102;13.09%;35;4.49%;80;10.27%;1;0.13%;;;18;2.31%;55;7.06%;26;3.34%;;;;
Europees;2014;;5;12;589;287;9;0;278;48.73%;70;24.39%;40;13.94%;60;20.91%;28;9.76%;10;3.48%;25;8.71%;1;0.35%;;;4;1.39%;19;6.62%;14;4.88%;;;;
Europees;2014;;5;13;994;374;5;1;368;37.63%;103;27.61%;31;8.31%;52;13.94%;44;11.80%;25;6.70%;25;6.70%;0;0.00%;;;7;1.88%;42;11.26%;24;6.43%;;;;
Europees;2014;;5;14;1588;798;17;8;773;50.25%;191;24.18%;47;5.95%;110;13.92%;118;14.94%;51;6.46%;83;10.51%;1;0.13%;;;15;1.90%;66;8.35%;64;8.10%;;;;
Europees;2014;;5;15;1495;606;6;8;592;40.54%;160;26.76%;49;8.19%;95;15.89%;67;11.20%;54;9.03%;51;8.53%;2;0.33%;;;8;1.34%;58;9.70%;40;6.69%;;;;
Europees;2014;;5;16;1871;763;20;9;734;40.78%;181;24.01%;78;10.34%;103;13.66%;78;10.34%;41;5.44%;93;12.33%;0;0.00%;;;16;2.12%;67;8.89%;47;6.23%;;;;
Europees;2014;;5;17;1276;561;10;2;549;43.97%;79;14.13%;79;14.13%;123;22.00%;79;14.13%;47;8.41%;31;5.55%;3;0.54%;;;8;1.43%;45;8.05%;32;5.72%;;;;
Europees;2014;;5;18;983;490;15;2;473;49.85%;129;26.43%;34;6.97%;48;9.84%;51;10.45%;29;5.94%;68;13.93%;2;0.41%;;;14;2.87%;44;9.02%;25;5.12%;;;;
Europees;2014;;5;19;979;404;13;1;390;41.27%;42;10.42%;73;18.11%;94;23.33%;51;12.66%;24;5.96%;21;5.21%;1;0.25%;;;11;2.73%;38;9.43%;13;3.23%;;;;
Europees;2014;;5;20;1171;531;7;9;515;45.35%;69;13.22%;81;15.52%;163;31.23%;66;12.64%;25;4.79%;31;5.94%;0;0.00%;;;5;0.96%;40;7.66%;24;4.60%;;;;
Europees;2014;;5;21;1397;690;12;6;672;49.39%;104;15.20%;111;16.23%;117;17.11%;84;12.28%;41;5.99%;59;8.63%;9;1.32%;;;11;1.61%;67;9.80%;44;6.43%;;;;
Europees;2014;;5;22;530;248;4;3;241;46.79%;53;21.63%;27;11.02%;40;16.33%;34;13.88%;13;5.31%;21;8.57%;0;0.00%;;;1;0.41%;37;15.10%;11;4.49%;;;;
Europees;2014;;5;23;1243;655;8;2;645;52.70%;47;7.20%;186;28.48%;207;31.70%;72;11.03%;29;4.44%;34;5.21%;1;0.15%;;;6;0.92%;28;4.29%;21;3.22%;;;;
Europees;2014;;5;24;1156;566;10;2;554;48.96%;83;14.72%;87;15.43%;115;20.39%;72;12.77%;44;7.80%;51;9.04%;2;0.35%;;;3;0.53%;52;9.22%;22;3.90%;;;;
Europees;2014;;5;25;865;407;11;2;394;47.05%;90;22.22%;60;14.81%;60;14.81%;46;11.36%;18;4.44%;29;7.16%;2;0.49%;;;12;2.96%;42;10.37%;13;3.21%;;;;
Europees;2014;;5;26;1014;579;10;2;567;57.10%;66;11.44%;134;23.22%;158;27.38%;62;10.75%;21;3.64%;49;8.49%;4;0.69%;;;13;2.25%;35;6.07%;18;3.12%;;;;
Europees;2014;;5;27;939;475;12;3;460;50.59%;51;10.81%;88;18.64%;123;26.06%;65;13.77%;22;4.66%;37;7.84%;1;0.21%;;;9;1.91%;35;7.42%;21;4.45%;;;;
Europees;2014;;5;28;887;404;4;4;396;45.55%;96;24.00%;29;7.25%;60;15.00%;63;15.75%;28;7.00%;28;7.00%;1;0.25%;;;6;1.50%;47;11.75%;29;7.25%;;;;
Europees;2014;;5;29;880;429;16;1;412;48.75%;90;21.03%;34;7.94%;79;18.46%;62;14.49%;25;5.84%;32;7.48%;0;0.00%;;;5;1.17%;46;10.75%;21;4.91%;;;;
Europees;2014;;6;1;863;411;12;1;398;47.62%;139;33.90%;28;6.83%;56;13.66%;31;7.56%;22;5.37%;31;7.56%;1;0.24%;;;10;2.44%;40;9.76%;25;6.10%;;;;
Europees;2014;;6;2;1170;490;7;1;482;41.88%;116;23.72%;75;15.34%;71;14.52%;59;12.07%;37;7.57%;36;7.36%;0;0.00%;;;8;1.64%;54;11.04%;17;3.48%;;;;
Europees;2014;;6;3;1462;620;6;6;608;42.41%;161;26.22%;58;9.45%;70;11.40%;89;14.50%;48;7.82%;65;10.59%;3;0.49%;;;15;2.44%;54;8.79%;22;3.58%;;;;
Europees;2014;;6;4;887;360;5;6;349;40.59%;93;26.27%;34;9.60%;43;12.15%;46;12.99%;14;3.95%;54;15.25%;0;0.00%;;;7;1.98%;35;9.89%;18;5.08%;;;;
Europees;2014;;6;5;1083;472;10;7;455;43.58%;92;19.78%;30;6.45%;68;14.62%;69;14.84%;43;9.25%;38;8.17%;2;0.43%;;;9;1.94%;51;10.97%;33;7.10%;;;;
Europees;2014;;6;6;1123;445;5;4;436;39.63%;103;23.36%;22;4.99%;57;12.93%;52;11.79%;30;6.80%;38;8.62%;0;0.00%;;;11;2.49%;78;17.69%;23;5.22%;;;;
Europees;2014;;6;8;1630;778;13;2;763;47.73%;127;16.37%;120;15.46%;189;24.36%;95;12.24%;52;6.70%;53;6.83%;2;0.26%;;;8;1.03%;65;8.38%;28;3.61%;;;;
Europees;2014;;6;9;875;386;2;4;380;44.11%;94;24.61%;46;12.04%;56;14.66%;59;15.45%;33;8.64%;31;8.12%;0;0.00%;;;9;2.36%;33;8.64%;12;3.14%;;;;
Europees;2014;;6;10;1537;681;14;10;657;44.31%;167;24.89%;48;7.15%;105;15.65%;80;11.92%;52;7.75%;65;9.69%;0;0.00%;;;5;0.75%;78;11.62%;32;4.77%;;;;
Europees;2014;;6;11;1291;455;6;4;445;35.24%;124;27.49%;25;5.54%;48;10.64%;45;9.98%;42;9.31%;50;11.09%;0;0.00%;;;10;2.22%;51;11.31%;26;5.76%;;;;
Europees;2014;;6;12;941;407;6;1;400;43.25%;115;28.33%;34;8.37%;45;11.08%;61;15.02%;33;8.13%;42;10.34%;0;0.00%;;;5;1.23%;37;9.11%;11;2.71%;;;;
Europees;2014;;6;13;666;334;8;4;322;50.15%;118;35.76%;5;1.52%;15;4.55%;49;14.85%;23;6.97%;46;13.94%;0;0.00%;;;12;3.64%;21;6.36%;21;6.36%;;;;
Europees;2014;;6;14;704;271;5;6;260;38.49%;89;33.58%;15;5.66%;21;7.92%;35;13.21%;15;5.66%;34;12.83%;1;0.38%;;;1;0.38%;22;8.30%;17;6.42%;;;;
Europees;2014;;6;16;1152;436;5;0;431;37.85%;82;18.81%;68;15.60%;54;12.39%;51;11.70%;48;11.01%;46;10.55%;1;0.23%;;;7;1.61%;40;9.17%;25;5.73%;;;;
Europees;2014;;6;18;926;358;2;4;352;38.66%;132;37.29%;14;3.95%;28;7.91%;41;11.58%;19;5.37%;42;11.86%;0;0.00%;;;2;0.56%;38;10.73%;25;7.06%;;;;
Europees;2014;;6;20;1120;421;9;7;405;37.59%;123;29.71%;15;3.62%;44;10.63%;53;12.80%;21;5.07%;54;13.04%;1;0.24%;;;12;2.90%;47;11.35%;19;4.59%;;;;
Europees;2014;;6;23;995;362;7;0;355;36.38%;112;30.94%;20;5.52%;30;8.29%;36;9.94%;27;7.46%;49;13.54%;0;0.00%;;;9;2.49%;43;11.88%;14;3.87%;;;;
