Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;PSC;% PSC;CiU;% CiU;ERC;% ERC;PP;% PP;ICV;% ICV;Altres;% Altres
Municipals;2003;5;14;1530;868;7;2;859;866;56.73%;477;55.08%;79;9.12%;60;6.93%;111;12.82%;115;13.28%;17;1.96%
Municipals;2003;5;15;1512;772;11;3;758;769;51.06%;473;61.51%;59;7.67%;42;5.46%;77;10.01%;103;13.39%;4;0.52%
Municipals;2003;5;16;1641;923;16;6;901;917;56.25%;503;54.85%;121;13.20%;40;4.36%;117;12.76%;115;12.54%;5;0.55%
Municipals;2003;5;17;1183;536;5;2;529;534;45.31%;228;42.70%;89;16.67%;56;10.49%;50;9.36%;102;19.10%;4;0.75%
Municipals;2003;5;18;1192;684;5;1;678;683;57.38%;349;51.10%;88;12.88%;29;4.25%;114;16.69%;98;14.35%;0;0.00%
Municipals;2003;5;19;1339;641;15;2;624;639;47.87%;332;51.96%;74;11.58%;49;7.67%;66;10.33%;99;15.49%;4;0.63%
Municipals;2003;5;20;1075;618;8;3;607;615;57.49%;215;34.96%;109;17.72%;102;16.59%;69;11.22%;99;16.10%;13;2.11%
Municipals;2003;5;21;1448;846;8;0;838;846;58.43%;420;49.65%;117;13.83%;81;9.57%;110;13.00%;100;11.82%;10;1.18%
Municipals;2003;5;22;550;301;3;1;297;300;54.73%;147;49.00%;39;13.00%;35;11.67%;36;12.00%;37;12.33%;3;1.00%
Municipals;2003;5;23;935;526;5;4;517;522;56.26%;139;26.63%;175;33.52%;116;22.22%;34;6.51%;53;10.15%;0;0.00%
Municipals;2003;5;24;1007;525;12;3;510;522;52.14%;195;37.36%;92;17.62%;57;10.92%;72;13.79%;93;17.82%;1;0.19%
Municipals;2003;5;25;855;501;7;0;494;501;58.60%;271;54.09%;61;12.18%;43;8.58%;60;11.98%;54;10.78%;5;1.00%
Municipals;2003;6;1;965;534;5;1;528;533;55.34%;311;58.35%;65;12.20%;18;3.38%;62;11.63%;69;12.95%;3;0.56%
Municipals;2003;6;2;1186;627;14;1;612;626;52.87%;309;49.36%;82;13.10%;44;7.03%;81;12.94%;92;14.70%;4;0.64%
Municipals;2003;6;3;1564;748;10;2;736;746;47.83%;378;50.67%;90;12.06%;46;6.17%;93;12.47%;128;17.16%;1;0.13%
Municipals;2003;6;4;1043;560;9;1;550;559;53.69%;223;39.89%;81;14.49%;37;6.62%;127;22.72%;72;12.88%;10;1.79%
Municipals;2003;6;5;836;378;3;2;373;376;45.22%;190;50.53%;50;13.30%;29;7.71%;46;12.23%;56;14.89%;2;0.53%
