Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;Cs;% Cs;CUP;% CUP;ERC;% ERC;Junts;% Junts;Podem;% Podem;PP;% PP;PRIMARIES;% PRIMARIES;PSC;% PSC;TEC;% TEC;TxT;% TxT;VOX;% VOX;Altres;% Altres
Municipals;2019;6;11;8279806011;1258;649;2;1;646;648;51.51;65;10.03;10;1.54;54;8.33;11;1.7;28;4.32;26;4.01;0;0;177;27.31;17;2.62;229;35.34;27;4.17;2;0.0031
Municipals;2019;6;12;8279806012;944;530;2;3;525;527;55.83;44;8.35;11;2.09;55;10.44;16;3.04;20;3.8;24;4.55;3;0.57;160;30.36;35;6.64;137;26;18;3.42;2;0.0038
Municipals;2019;6;13;8279806013;695;396;3;2;391;394;56.69;41;10.41;3;0.76;22;5.58;2;0.51;26;6.6;15;3.81;0;0;130;32.99;29;7.36;110;27.92;13;3.3;0;0
Municipals;2019;6;14;8279806014;724;334;3;1;330;333;45.99;40;12.01;8;2.4;26;7.81;4;1.2;13;3.9;21;6.31;1;0.3;99;29.73;15;4.5;89;26.73;13;3.9;1;0.003
Municipals;2019;6;16;8279806016;1143;596;1;2;593;594;51.97;62;10.44;23;3.87;41;6.9;44;7.41;20;3.37;23;3.87;7;1.18;161;27.1;38;6.4;163;27.44;8;1.35;3;0.0051
Municipals;2019;6;18;8279806018;892;504;0;3;501;501;56.17;52;10.38;8;1.6;27;5.39;9;1.8;28;5.59;19;3.79;0;0;176;35.13;14;2.79;139;27.74;29;5.79;0;0
Municipals;2019;6;20;8279806020;1110;498;1;3;494;495;44.59;62;12.53;5;1.01;29;5.86;10;2.02;27;5.45;29;5.86;0;0;146;29.49;24;4.85;142;28.69;18;3.64;2;0.004
Municipals;2019;6;23;8279806023;993;545;3;5;537;540;54.38;63;11.67;3;0.56;44;8.15;10;1.85;17;3.15;36;6.67;0;0;143;26.48;22;4.07;189;35;10;1.85;0;0
Municipals;2019;6;24;8279806024;1780;1010;2;2;1006;1008;56.63;132;13.1;26;2.58;79;7.84;10;0.99;59;5.85;31;3.08;3;0.3;239;23.71;44;4.37;355;35.22;27;2.68;1;0.001
Municipals;2019;6;25;8279806025;1447;819;4;4;811;815;56.32;67;8.22;17;2.09;88;10.8;11;1.35;38;4.66;25;3.07;9;1.1;228;27.98;66;8.1;234;28.71;28;3.44;0;0
Municipals;2019;6;26;8279806026;1184;677;3;1;673;676;57.09;64;9.47;18;2.66;47;6.95;8;1.18;40;5.92;13;1.92;1;0.15;170;25.15;33;4.88;253;37.43;25;3.7;1;0.0015
Municipals;2019;6;27;8279806027;966;486;4;1;481;485;50.21;41;8.45;9;1.86;21;4.33;2;0.41;24;4.95;13;2.68;2;0.41;178;36.7;13;2.68;169;34.85;9;1.86;0;0
Municipals;2019;6;28;8279806028;1204;700;3;4;693;696;57.81;58;8.33;10;1.44;57;8.19;14;2.01;38;5.46;45;6.47;3;0.43;198;28.45;42;6.03;207;29.74;19;2.73;2;0.0029
Municipals;2019;6;29;8279806029;816;453;1;3;449;450;55.15;51;11.33;9;2;29;6.44;4;0.89;20;4.44;20;4.44;4;0.89;98;21.78;21;4.67;181;40.22;11;2.44;1;0.0022
Municipals;2019;6;30;8279806030;542;294;1;3;290;291;53.69;34;11.68;7;2.41;35;12.03;8;2.75;15;5.15;6;2.06;0;0;62;21.31;9;3.09;103;35.4;11;3.78;0;0
Municipals;2019;6;31;8279806031;731;368;0;3;365;365;49.93;49;13.42;14;3.84;28;7.67;2;0.55;16;4.38;6;1.64;0;0;89;24.38;19;5.21;126;34.52;15;4.11;1;0.0027
Municipals;2019;6;32;8279806032;591;319;0;1;318;318;53.81;49;15.41;8;2.52;27;8.49;8;2.52;23;7.23;2;0.63;0;0;73;22.96;5;1.57;103;32.39;20;6.29;0;0
Municipals;2019;6;33;8279806033;1022;630;2;3;625;627;61.35;70;11.16;11;1.75;78;12.44;22;3.51;22;3.51;13;2.07;3;0.48;133;21.21;34;5.42;215;34.29;24;3.83;0;0
Municipals;2019;7;1;8279807001;2018;1253;2;1;1250;1252;62.04;127;10.14;54;4.31;225;17.97;82;6.55;64;5.11;26;2.08;12;0.96;240;19.17;84;6.71;308;24.6;28;2.24;0;0
Municipals;2019;7;2;8279807002;1512;797;1;1;795;796;52.65;87;10.93;10;1.26;47;5.9;6;0.75;58;7.29;25;3.14;1;0.13;283;35.55;30;3.77;220;27.64;28;3.52;0;0
Municipals;2019;7;3;8279807003;1140;471;6;1;464;470;41.23;55;11.7;2;0.43;28;5.96;6;1.28;20;4.26;11;2.34;2;0.43;145;30.85;9;1.91;165;35.11;19;4.04;2;0.0043
Municipals;2019;7;4;8279807004;1828;1022;5;4;1013;1018;55.69;156;15.32;15;1.47;109;10.71;23;2.26;36;3.54;44;4.32;5;0.49;289;28.39;46;4.52;251;24.66;39;3.83;0;0
